Requirement_ID,Page_Number,Requirement_Title,Obligation_Level,Response_Status,Proposal_Section_Ref,Architecture_Component_Ref,Evidence_Status,Acceptance_Method,Responsibility_Owner,Qualification_Notes
REQ-QA-001,"30, 34",تغطية اختبارات Unit Test >= 75% وخلو النظام من Critical Bugs,MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-DOC-001,"7, 23, 29, 30, 31, 34, 40","حزمة التوثيق الشاملة باللغة العربية (SRS, SDD, API, Ops, User Manuals / BOQ 6.3)",MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-TRN-001,"7, 31, 32, 33, 34, 40",تنفيذ برنامج تدريبي عملي لـ 80 ساعة تدريبية لـ 40 متدرباً (BOQ 6.1 - 6.2),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-SLA-001,"23, 28, 30, 36, 40, 41",الضمان المجاني الشامل والدعم الفني لمدة 12 شهراً وفق SLA (BOQ 7.1 - 7.2),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
REQ-HR-001,"32, 35, 36",مدير مشروع معتمد PMP/PRINCE2 بخبرة >= 8 سنوات (تفرغ 100%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-002,"32, 35, 36",قائد معمارية الحلول معتمد TOGAF / AWS بخبرة >= 10 سنوات (تفرغ 50%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-003,"32, 35, 36",قائد الخدمات الخلفية بكالوريوس هندسة/حاسوب بخبرة >= 7 سنوات (تفرغ 100%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-004,"32, 35, 36",قائد واجهات ونفاذية بكالوريوس حاسوب بخبرة >= 6 سنوات (تفرغ 100%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-005,"32, 35, 36",مهندس ذكاء اصطناعي ماجستير/بكالوريوس ذكاء اصطناعي بخبرة >= 5 سنوات (تفرغ 75%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-006,"32, 35, 36",خبير أمن سيبراني حاصل على CISSP / CEH / ISO 27001 بخبرة >= 6 سنوات (تفرغ 40%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-007,"33, 35, 36",مهندس عمليات DevOps معتمد CKA / Docker بخبرة >= 5 سنوات (تفرغ 50%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-HR-008,"33, 35, 36",أخصائي ترحيل محتوى وتدريب بكالوريوس نظم معلومات بخبرة >= 4 سنوات (تفرغ 100%),MUST,COMPLY_PENDING_EVIDENCE,TAIZ_TENDER_04_TEAM_AND_GOVERNANCE.md,OUTSIDE_ARCHITECTURE_WITH_OWNER,PENDING_EVIDENCE,Verification & Sign-off Protocol,Project Manager / HR / Legal / Finance,Fully addressed in Proposal
REQ-TIM-001,"23, 31, 32",الالتزام بمدة التنفيذ الإجمالية (32 أسبوعاً موزعة على 6 مراحل),MUST,COMPLY_TECHNICAL,TAIZ_TENDER_04_TECHNICAL_SOLUTION.md,Modular Monolith Architecture,AVAILABLE_VERIFIED,Verification & Sign-off Protocol,Engineering Leads,Fully addressed in Proposal
