Requirement_ID,PDF_Page,Printed_Page,Section,Requirement_Description_AR,Level,Category,Acceptance_Evidence,Current_Portal_Status
TAIZ-FR-005,8,7,Part 4,توفير نظام تصميم موحد (Design System) يعكس الهوية المؤسسية للجامعة وكلياتها,MUST,UX,مراجعة مكتبة المكونات ونظام السمات الموحد,FOUNDATION
TAIZ-FR-006,8,7,Part 4,هيكل تصفح مرن وقوائم ذكية متعددة المستويات ومسارات تنقل تصفح (Breadcrumbs),MUST,UX,اختبار سهولة الوصول ومسارات الصفحات,READY
TAIZ-FR-007,8,7,Part 4,محرك بحث داخلي متقدم للنصوص والأخبار واللوائح والبرامج مع الإكمال التلقائي,MUST,FR,اختبار استعلامات البحث الداخلي والدقة,FOUNDATION
TAIZ-FR-008,8,7,Part 4,نظام إدارة محتوى لابرمدي مرن بنمط السحب والإفلات (Drag & Drop Page Builder),MUST,FR,تجربة بناء صفحة تفاعلية بدون كتابة كود,TO_BUILD
TAIZ-FR-009,8,7,Part 4,مستودع ومكتبة وسائط متعددة مركزية لإدارة الصور والفيديو والملفات (PDF, DOCX),MUST,FR,تجربة رفع وتنظيم وتصنيف الوسائط المشتركة,FOUNDATION
TAIZ-FR-010,8,7,Part 4,إدارة مركزية للروابط والتحويلات التلقائية (301/302 Redirects) لحماية الروابط القديمة,MUST,DATA,فحص جدول التحويلات واختبار الروابط القديمة,TO_BUILD
TAIZ-CMS-001,9,8,Part 4,منشئ الصفحة الرئيسية المؤسسية: تخصيص الهيدر، السلايدر، والروابط السريعة,MUST,FR,تجربة تخصيص مكونات الصفحة الرئيسية من اللوحة,FOUNDATION
TAIZ-CMS-002,9,8,Part 4,عرض الإحصائيات الجامعية الحية ديناميكياً من قواعد البيانات,MUST,FR,التحقق من تغذية الإحصائيات من قواعد البيانات,READY
TAIZ-CMS-003,9,8,Part 4,تخصيص كلمة رئيس الجامعة وأقسام الرسائل القيادية في الصفحة الرئيسية,MUST,FR,تعديل وعرض كلمة رئيس الجامعة بسهولة,READY
TAIZ-CMS-004,9,8,Part 4,إدارة الصفحات المؤسسية الثابتة والديناميكية (الرؤية، الرسالة، الأهداف، الهيكل),MUST,FR,فحص صفحات التعريف بالجامعة وهيكلها,READY
TAIZ-CMS-005,10,9,Part 4,محرر نصوص متطور (WYSIWYG) يدعم الجداول والوسائط للأخبار والمقالات,MUST,FR,تجربة تحرير وتنسيق المقالات الإخبارية,READY
TAIZ-CMS-006,10,9,Part 4,مسار تدفق الموافقات على الأخبار: (مسودة -> مراجعة -> موافقة -> نشر -> أرشفة),MUST,FR,اختبار دورة حياة المقال وتدرج الصلاحيات,FOUNDATION
TAIZ-CMS-007,10,9,Part 4,جدولة النشر التلقائي للأخبار والمقالات في تاريخ ووقت محدد مسبقاً,SHOULD,FR,اختبار نشر مقال مجدول في موعده آلياً,FOUNDATION
TAIZ-CMS-008,10,9,Part 4,دعم النشر متعدد القنوات ومشاركة المقالات على منصات التواصل الاجتماعي,SHOULD,FR,فحص بطاقات المشاركة وأزرار النشر,READY
TAIZ-CMS-009,11,10,Part 4,إدارة الإعلانات والتعاميم مع تصنيفها (عاجلة، أكاديمية، مالية، عامة),MUST,FR,فحص تصنيف ونشر الإعلانات في الواجهات,READY
TAIZ-CMS-010,11,10,Part 4,استهداف جمهور الإعلانات بدقة (الطلاب، أعضاء هيئة التدريس، الموظفين، العامة),MUST,FR,فحص ظهور الإعلان للجمهور المستهدف فقط,READY
TAIZ-CMS-011,11,10,Part 4,تحديد تاريخ انتهاء الإعلانات وتفعيل الأرشفة التلقائية بعد الانتهاء,MUST,FR,التحقق من اختفاء الإعلان المنتهي وأرشفته,READY
TAIZ-CMS-012,11,10,Part 4,إدارة الفعاليات والأنشطة الجامعية وتوثيق تفاصيلها ومواقعها ومتحدثيها,MUST,FR,فحص دليل الفعاليات والأنشطة المقامة,FOUNDATION
TAIZ-CMS-013,11,10,Part 4,التقويم الأكاديمي التفاعلي ودعم تصدير المواعيد بتنسيق iCal وتكامل Google Calendar,SHOULD,FR,فحص تصدير ملفات التقويم والربط التفاعلي,FOUNDATION
TAIZ-CMS-014,11,10,Part 4,إتاحة التسجيل الإلكتروني في الفعاليات والندوات عبر المنصة,MAY,FR,تجربة نموذج التسجيل واستقبال التأكيدات,FOUNDATION
TAIZ-CMS-015,11,10,Part 4,دليل البرامج الأكاديمية وخطط البكالوريوس والدراسات العليا وتوصيف المقررات,MUST,FR,فحص هيكل البرامج وتوصيف المقررات والساعات,READY
TAIZ-CMS-016,12,11,Part 4,دليل أعضاء هيئة التدريس وصفحاتهم الشخصية وسيرهم الذاتية وساعاتهم المكتبية,MUST,FR,مراجعة صفحات الكادر الأكاديمي والبيانات,FOUNDATION
TAIZ-CMS-017,12,11,Part 4,ربط الملفات الشخصية للأكاديميين بمعرفات Google Scholar و ORCID و Scopus,MUST,FR,فحص صحة الروابط البحثية في بروفايل الكادر,FOUNDATION
TAIZ-CMS-018,12,11,Part 4,توليد مصغرات الصور والأبعاد المتعددة تلقائياً عند رفع الوسائط لتحسين السرعة,MUST,OPS,فحص توليد صور WebP والمصغرات آلياً,FOUNDATION
TAIZ-CMS-019,12,11,Part 4,منشئ النماذج والاستبيانات الديناميكية التفاعلية (Dynamic Form Builder),MUST,FR,تجربة بناء استبيان متعدد الحقول ونشره,TO_BUILD
TAIZ-CMS-020,12,11,Part 4,التحقق اللحظي من صحة مدخلات النماذج وتصدير الردود بتنسيقات CSV / Excel,MUST,FR,تجربة تصدير بيانات نموذج بعد استيفائه,TO_BUILD
TAIZ-CMS-021,13,12,Part 4,قاعدة معرفية تفاعلية للأسئلة الشائعة (FAQ) مصنفة حسب الكليات والخدمات,MUST,FR,تصفح الأسئلة الشائعة والبحث فيها,FOUNDATION
TAIZ-CMS-022,13,12,Part 4,ربط الأسئلة الشائعة بمحرك البحث ومحرك الذكاء الاصطناعي لتغذية الإجابات الفورية,MUST,AI,فحص استرجاع إجابة السؤال الشائع في المحادثة,FOUNDATION
TAIZ-CMS-023,13,12,Part 4,سجل تدقيق تاريخي غير قابل للتعديل (Audit Trail) لكافة عمليات CMS,MUST,SEC,فحص سجلات التدقيق وتوثيق IP والمستخدم,READY
TAIZ-MS-001,14,13,Part 5,إدارة مركزية موحدة لـ 25 موقعاً وفرعاً تشمل كليات الجامعة والمراكز عبر لوحة واحدة,MUST,FR,تجربة إدارة وتشغيل 25 موقعاً بالتزامن,FOUNDATION
TAIZ-MS-002,14,13,Part 5,حوكمة مركزية للسياسات والأمان مع استقلالية محلية لكل كلية في إدارة محتواها,MUST,FR,فحص عزل محتوى وصلاحيات كلية عن أخرى,FOUNDATION
TAIZ-MS-003,14,13,Part 5,محرك قوالب موحد يلتزم بالهوية المؤسسية مع مرونة تخصيص سمات كل كلية,MUST,UX,فحص تطبيق سمة لونية مخصصة لكلية على القالب,FOUNDATION
TAIZ-MS-004,15,14,Part 5,دعم النطاقات الفرعية التلقائية لكافة المواقع (مثل med.taiz.edu.ye),MUST,OPS,فحص توجيه واستجابة النطاقات الفرعية,FOUNDATION
TAIZ-MS-005,15,14,Part 5,دعم ربط نطاقات مخصصة (Custom Domains) لبعض المراكز المستقلة مستقبلاً,SHOULD,OPS,فحص إعدادات توجيه النطاقات المخصصة,FOUNDATION
TAIZ-MS-006,15,14,Part 5,إدارة هرمية للمستخدمين والصلاحيات المحلية على مستوى الموقع الفرعي,MUST,SEC,اختبار منع وصول محرر كلية للوحة كلية أخرى,FOUNDATION
TAIZ-MS-007,15,14,Part 5,ميزة البحث الثنائي: حصر البحث داخل موقع الكلية أو البحث الشامل في الـ 25 موقعاً,MUST,FR,تجربة استعلام بحث موضعي واستعلام بحث عام,FOUNDATION
TAIZ-MS-008,15,14,Part 5,ميزة التعميم المركزي: نشر الأخبار والتعاميم على كافة المواقع بنقرة واحدة,MUST,FR,فحص ظهور خبر رئاسة الجامعة في واجهات الكليات,FOUNDATION
TAIZ-MS-009.1,16,15,Part 5,تدشين المواقع خطوة 1: إدخال اسم وبيانات الموقع الفرعي باللغتين عربي وإنجليزي,MUST,FR,إدخال بيانات الموقع واعتمادها,FOUNDATION
TAIZ-MS-009.2,16,15,Part 5,تدشين المواقع خطوة 2: اختيار القالب وضبط ألوان وهوية الكلية الفرعية,MUST,UX,معاينة وتطبيق سمة الكلية على القالب,FOUNDATION
TAIZ-MS-009.3,16,15,Part 5,تدشين المواقع خطوة 3: تكوين وتوليد النطاق الفرعي وإعدادات DNS,MUST,OPS,فحص سلامة توجيه النطاق الفرعي,FOUNDATION
TAIZ-MS-009.4,16,15,Part 5,تدشين المواقع خطوة 4: تعيين مدير الموقع ومحرري الكلية وصلاحياتهم,MUST,SEC,تعيين الحسابات وفحص أذوناتهم,FOUNDATION
TAIZ-MS-009.5,16,15,Part 5,تدشين المواقع خطوة 5: إعداد الأقسام العلمية والهيكل الأكاديمي للكلية,MUST,FR,فحص إنشاء الأقسام وربطها بالكلية,READY
TAIZ-MS-009.6,16,15,Part 5,تدشين المواقع خطوة 6: تكوين وبناء قوائم التصفح الرئيسية والفرعية للموقع,MUST,FR,فحص قوائم التصفح الناتجة,READY
TAIZ-MS-009.7,17,16,Part 5,تدشين المواقع خطوة 7: الفحص الأوتوماتيكي للنفاذية الرقمية WCAG 2.2 AA,MUST,A11Y,اجتياز الفحص الآلي بدون أخطاء نفاذية,FOUNDATION
TAIZ-MS-009.8,17,16,Part 5,تدشين المواقع خطوة 8: مراجعة المحتوى والصفحات التجريبية قبل الإطلاق,MUST,FR,مراجعة واعتماد النسخة التجريبية للموقع,READY
TAIZ-MS-009.9,17,16,Part 5,تدشين المواقع خطوة 9: الإطلاق الرسمي والتدشين بنقرة واحدة ونشر الموقع حياً,MUST,OPS,التأكد من عمل الموقع حياً وربطه بالبحث,FOUNDATION
TAIZ-MS-010,17,16,Part 5,عزل مساحات التخزين والوسائط لكل كلية ومرفق ضمن بنية التخزين المركزية,MUST,OPS,فحص أذونات الوصول وعزل الملفات,FOUNDATION
TAIZ-PORT-001,18,17,Part 6,بوابة الطالب الجامعية الشاملة (الملف الأكاديمي، الجدول، النتائج، الرسوم، الطلبات),MUST,FR,اختبارات قبول المستخدم لسيناريوهات الطالب,READY
TAIZ-PORT-002,18,17,Part 6,عرض السجل الأكاديمي وكشف الدرجات الفصلي والتراكمي للطالب,MUST,FR,فحص مطابقة درجات الطالب والمعدل التراكمي,READY
TAIZ-PORT-003,18,17,Part 6,تقديم ومتابعة الطلبات والخدمات الطلابية الإلكترونية وتتبع مسارها,MUST,FR,تجربة تقديم طلب ومتابعة خط زمني لحالته,READY
TAIZ-PORT-004,18,17,Part 6,إصدار الإفادات والشهادات الإلكترونية المعتمدة بـ QR ورابط تحقق عام آمن,MUST,FR,فحص توليد الوثيقة ومسح رمز الـ QR للتحقق,READY
TAIZ-PORT-005,18,17,Part 6,بوابة الكادر الأكاديمي (إدارة المقررات، رصد الدرجات، الحضور، المشاريع، المجالس),MUST,FR,تجربة سيناريوهات الأستاذ الجامعي ورصد الدرجات,READY
TAIZ-PORT-006,18,17,Part 6,رصد وتقييم الحضور والغياب للطلاب وإشعار الحرمان التلقائي,SHOULD,FR,فحص تسجيل الحضور واحتساب نسب الغياب,READY
TAIZ-PORT-007,18,17,Part 6,مسار رصد ومراجعة الدرجات واعتمادها من مجلس القسم والكلية,MUST,FR,اختبار مسار اعتماد النتيجة قبل النشر,READY
TAIZ-PORT-008,18,17,Part 6,إدارة وتوزيع مشاريع التخرج للطلاب والإشراف والتقييم النهائي,MUST,FR,تجربة دورة حياة مشروع تخرج بالكامل,READY
TAIZ-PORT-009,18,17,Part 6,بوابة الموظفين والإداريين (الخدمات الإدارية، طلبات الإجازات، المراسلات الداخلية),MUST,FR,اختبارات سيناريوهات الموظف وصندوق المهام,READY
TAIZ-PORT-010,18,17,Part 6,صندوق مهام موحد للموظف لمعالجة الطلبات المحالة لدوره ووحدته,MUST,FR,فحص استقبال ومعالجة الطلبات في صندوق الوارد,READY
TAIZ-PORT-011,18,17,Part 6,نظام الدخول الموحد المؤسسي (SSO عبر Keycloak / OIDC / OAuth2 / SAML),MUST,SEC,اختبار تسجيل دخول موحد بكافة البوابات,FOUNDATION
TAIZ-PORT-012,18,17,Part 6,فرض المصادقة الثنائية الإلزامية (MFA عبر TOTP / OTP) لحسابات الإدارة والأكاديميين,MUST,SEC,فحص طلب رمز التحقق الثاني عند الدخول,FOUNDATION
TAIZ-PORT-013,18,17,Part 6,محرك مسار تدفق الخدمات الشامل (دورة الحياة الكاملة من الطلب إلى النتيجة),MUST,FR,اختبار دورة خدمة إلكترونية كاملة,READY
TAIZ-PORT-014,19,18,Part 6,مرونة تخصيص مسارات الموافقات وتعيين الوحدات المعالجة دون تعديل الكود البرمجي,MUST,FR,تجربة تعديل مسار خدمة من لوحة الإدارة,READY
TAIZ-PORT-015,19,18,Part 6,فصل الخدمات الأصيلة المنفذة بالبوابة عن خدمات التكامل مع أنظمة SIS/HR,MUST,DEV,تدقيق عزل المعاملات وقواعد البيانات,READY
TAIZ-PORT-016,19,18,Part 6,توجيه الطالب للسداد في النظام المالي للجامعة والتحقق اليدوي دون بوابة دفع داخلية,MUST,FR,فحص واجهة الرسوم وتأكيد السداد المالي,READY
TAIZ-AI-001,21,20,Part 8,المساعد الافتراضي والدردشة الذكية السيادية باستضافة محلية كاملة On-Premises,MUST,AI,فحص حركة الشبكة وتأكيد الاستضافة المحلية 100%,TO_BUILD
TAIZ-AI-002,21,20,Part 8,حظر تسريب أو إرسال أي بيانات أو استفسارات جامعية لخدمات سحابية خارجية,MUST,SEC,تدقيق أمني لحركة بيانات نموذج الذكاء,TO_BUILD
TAIZ-AI-003,21,20,Part 8,استخدام قاعدة بيانات متجهات متخصصة مفتوحة المصدر وعالية الأداء (Qdrant/Milvus),MUST,AI,فحص استجابة وأداء قاعدة المتجهات,TO_BUILD
TAIZ-AI-004,21,20,Part 8,استخدام نماذج لغوية مفتوحة المصدر قابلة للاستضافة الذاتية (Llama 3 / Qwen 2.5),MUST,AI,فحص تشغيل النموذج محلياً وجودة التوليد,TO_BUILD
TAIZ-AI-005,21,20,Part 8,استخدام نموذج تضمين لغوي متعدد اللغات يدعم العربية بدقة (bge-m3 / multilingual-e5),MUST,AI,تقييم دقة التضمين واسترجاع النصوص العربية,TO_BUILD
TAIZ-AI-006,21,20,Part 8,منع الهلوسة وحظر التوليد الحر وحصر إجابات المساعد على لوائح ووثائق الجامعة,MUST,AI,اختبارات حقن أسئلة فخ وتوثيق نسبة الهلوسة (0%),TO_BUILD
TAIZ-AI-007,21,20,Part 8,رفض الإجابة الصريح والشفاف عند عدم وجود سند رسمي في قاعدة المعرفة,MUST,AI,التحقق من رفض الإجابة على استفسارات خارج السياق,TO_BUILD
TAIZ-AI-008,21,20,Part 8,إسناد المصادر والاستشهاد الشفاف بروابط وأرقام مواد اللائحة في كل رد,MUST,AI,فحص دقة الروابط والإحالات في إجابات المساعد,TO_BUILD
TAIZ-AI-009,21,20,Part 8,تطبيق المعالجة الصرفية المتقدمة للغة العربية واستخراج الجذور (Farasa / CamelTools),MUST,AI,اختبار دقة استرجاع صيغ ومترادفات اللغة العربية,TO_BUILD
TAIZ-AI-010,20,19,Part 7,محرك البحث الهجين (Hybrid Search) بدمج البحث النصي BM25 والبحث المتجهي عبر RRF,MUST,AI,قياس دقة استرجاع النتائج بالبحث الهجين,TO_BUILD
TAIZ-AI-011,22,21,Part 8,قاعدة المعرفة المركزية مع توثيق مالك المحتوى والتحديث التلقائي للمتجهات,MUST,AI,اختبار تحديث وثيقة والتحقق من تحديث متجهاتها فوراً,TO_BUILD
TAIZ-AI-012,22,21,Part 8,حماية المساعد الذكي من هجمات حقن الأوامر وتجاوز سياق النظام (Prompt Injection),MUST,SEC,اختبارات اختراق متخصصة لأمان محرك الذكاء,TO_BUILD
TAIZ-AI-013,22,21,Part 8,فرض مصفوفة التحكم بالوصول والصلاحيات (RBAC) على استعلامات الذكاء,MUST,SEC,التحقق من حجب الوثائق السرية عن غير المصرح لهم,TO_BUILD
TAIZ-AI-014,22,21,Part 8,لوحة حوكمة وتحليلات الذكاء ومراجعة سجلات المحادثات وتصنيف الأسئلة غير المجابة,MUST,AI,مراجعة لوحة الحوكمة وتحليلات الأداء,TO_BUILD
TAIZ-AI-015,22,21,Part 8,تفعيل آلية التدخل البشري (Human-in-the-loop) لتصحيح الردود وتغذية المعرفة دورياً,MUST,AI,تجربة تصحيح استجابة وتحديث قاعدة المعرفة,TO_BUILD
TAIZ-AI-016,22,21,Part 8,تحقيق مؤشرات الدقة المعتمدة: Recall@10 لا يقل عن 85% ومعدل غير المدعومة < 5%,MUST,AI,تقرير قياس Recall@10 الصادر من بيئة الاختبار,TO_BUILD
TAIZ-SEC-001,6,5,Part 14,الامتثال الكامل لمعيار الأمان العالمي OWASP ASVS v4.0 Level 2 وبنية عدم الثقة Zero Trust,MUST,SEC,مراجعة وتدقيق مصفوفة التحقق الأمني ASVS L2,FOUNDATION
TAIZ-SEC-002,6,5,Part 14,فرض تشفير الاتصالات حصراً عبر بروتوكول TLS 1.3 مع إلغاء القديمة وتفعيل HSTS,MUST,SEC,فحص تكوين الخوادم (تصنيف A+ في SSL Labs),FOUNDATION
TAIZ-SEC-003,6,5,Part 14,تشفير البيانات الحساسة وقواعد البيانات أثناء السكون باستخدام خوارزمية AES-256,MUST,SEC,تدقيق تشفير الحقول وقواعد البيانات والمفاتيح,FOUNDATION
TAIZ-SEC-004,6,5,Part 14,الحماية الصارمة من ثغرات حقن الأوامر SQLi عبر الاعتماد الحصري على Prepared Statements,MUST,SEC,مراجعة الكود البرمجي الآلية والفحص الثابت,READY
TAIZ-SEC-005,34,33,Part 14,الحماية الصارمة من ثغرات XSS عبر تنقية المدخلات باستخدام DOMPurify وتطبيق CSP,MUST,SEC,فحص تنقية المدخلات وسياسات أمان المحتوى,READY
TAIZ-SEC-006,6,5,Part 14,الحماية الصارمة من ثغرات التحكم بالوصول (IDOR / BOLA) عبر RLS و Guards,MUST,SEC,اختبارات مصفوفة التفويض الإيجابية والسلبية,READY
TAIZ-SEC-007,34,33,Part 14,فحص الملفات المرفوعة لحظياً بواسطة مضاد فيروسات (ICAP Antivirus / Sandbox),MUST,SEC,اختبار رفع ملفات تجريبية خبيثة والتحقق من حظرها,TO_BUILD
TAIZ-SEC-008,34,33,Part 14,حظر كافة الامتدادات التنفيذية والخطرة (.exe, .php, .sh, .bat) وعزل مخزن الملفات,MUST,SEC,فحص قائمة الامتدادات المحظورة وعزل التخزين,READY
TAIZ-SEC-009,6,5,Part 14,تسجيل كافة العمليات الحساسة ومحاولات الدخول في سجلات تدقيق غير قابلة للتعديل,MUST,SEC,فحص جداول audit_logs واستحالة تعديلها,READY
TAIZ-SEC-010,6,5,Part 14,إنجاز تقرير فحص أمني واختبار اختراق شامل معتمد صادر من طرف ثالث مستقل,MUST,SEC,تقرير اختبار الاختراق النظيف المعتمد من الشركة الأمنية,TO_BUILD
TAIZ-A11Y-001,5,4,Part 15,الامتثال التام لمعيار النفاذية الرقمية العالمي WCAG 2.2 Level AA في كافة الواجهات,MUST,A11Y,تقارير الفحص الشامل بنسبة توافق 100%,FOUNDATION
TAIZ-A11Y-002,24,23,Part 15,التوافق الكامل مع برامج قراءة الشاشة (NVDA, JAWS) وتوفير نصوص Alt لكافة الصور,MUST,A11Y,اختبارات عملية باستخدام برامج قراءة الشاشة,FOUNDATION
TAIZ-A11Y-003,24,23,Part 15,إمكانية التنقل والتحكم الكامل بكافة الوظائف والنماذج عبر لوحة المفاتيح حصراً,MUST,A11Y,اختبارات التنقل بمفتاح Tab ومفاتيح الأسهم,FOUNDATION
TAIZ-A11Y-004,28,27,Part 15,توفير وسوم ARIA Landmarks الصحيحة وتوفير مؤشرات تركيز بصرية واضحة للعناصر,MUST,A11Y,تدقيق هيكل DOM ووسوم ARIA ومؤشرات التركيز,FOUNDATION
TAIZ-A11Y-005,28,27,Part 15,تحقيق نسب تباين لوني لا تقل عن 4.5:1 للنصوص العادية و 3:1 للنصوص الكبيرة,MUST,A11Y,قياس تباين الألوان عبر الأدوات المعتمدة,FOUNDATION
TAIZ-A11Y-006,28,27,Part 15,توفير أدوات سهلة لتكبير الخط وتبديل نمط التباين العالي (Accessibility Widget),SHOULD,UX,تجربة أداة تيسير الوصول في الترويسة,FOUNDATION
TAIZ-A11Y-007,24,23,Part 15,تقديم تقارير فحص نفاذية رقمية معتمدة ونظيفة عبر أدوات القياس (axe-core و Pa11y),MUST,A11Y,مراجعة تقارير axe-core و Pa11y في خطوط CI/CD,FOUNDATION
TAIZ-SEO-001,13,12,Part 16,محرك أتمتة الـ SEO والبيانات الوصفية المنظمة (Schema.org / JSON-LD) لكافة الصفحات,MUST,UX,فحص تقرير أداة Google Rich Results ومطابقتها,FOUNDATION
TAIZ-SEO-002,13,12,Part 4,توليد بطاقات المشاركة الاجتماعية اللحظية (Open Graph و Twitter Cards) تلقائياً,MUST,UX,اختبار مشاركة الروابط على شبكات التواصل,READY
TAIZ-SEO-003,13,12,Part 16,توليد خرائط المواقع التفاعلية Sitemap.xml لجميع الـ 25 موقعاً وتحديثها لحظياً,MUST,UX,فحص ملفات Sitemap.xml واستيفائها للمواقع,FOUNDATION
TAIZ-SEO-004,13,12,Part 16,الربط التلقائي ببروتوكول Google Indexing API لإشعار محركات البحث بالفهرسة الفورية,MUST,INT,فحص سجلات إرسال طلبات الفهرسة اللحظية,TO_BUILD
TAIZ-SEO-005,13,12,Part 16,تحسين وهيكلة المحتوى الأكاديمي والبحثي لرفع تصنيف جامعة تعز في Webometrics,MUST,UX,مطابقة هيكل المستودع والمقالات مع معايير التصنيف,FOUNDATION
TAIZ-SEO-006,24,23,Part 10,إدارة الروابط الدائمة والتحويلات 301 لحماية قوة الأرشفة التاريخية وتجنب أخطاء 404,MUST,DATA,فحص خريطة التحويلات واختبار استجابة الروابط القديمة,TO_BUILD
TAIZ-INT-001,7,6,Part 10,بناء بوابة واجهات التطبيقات المؤسسية (API Gateway) للتحكم بالأمان ومعدل الطلبات,MUST,INT,فحص بوابة الواجهات وإعدادات Rate Limiting,FOUNDATION
TAIZ-INT-002,24,23,Part 10,توفير 4 موصلات للأنظمة القائمة (SIS, HR, Finance, LMS) بنمط القراءة فقط,MUST,INT,اختبارات التكامل ومطابقة البيانات دون كتابة في القديمة,FOUNDATION
TAIZ-INT-003,7,6,Part 15,توثيق الواجهات البرمجية المعياري وفق مواصفات OpenAPI 3.0 / Swagger باللغتين,MUST,DOC,فحص بوابة التوثيق التفاعلية وتجربة استدعاء النقاط,READY
TAIZ-INT-004,24,23,Part 10,تنفيذ خطة وأنابيب ETL مبرمجة لترحيل وتطهير الأخبار والوثائق التاريخية من الموقع القديم,MUST,DATA,تقرير مطابقة البيانات المهاجرة بنسبة 100%,FOUNDATION
TAIZ-NFR-001,7,6,Part 10,قدرة المنصة على تحمل 5,000 مستخدم متزامن في أوقات الذروة دون انهيار أو بطء,MUST,NFR,تقارير اختبارات الضغط (JMeter / Locust) بـ 5K,FOUNDATION
TAIZ-NFR-002,7,6,Part 10,قابلية المعمارية للتوسع الأفقي التلقائي لاستيعاب حتى 25,000 مستخدم متزامن,MUST,NFR,فحص تكوينات التوسع الأفقي ومحاكاة التوسع,FOUNDATION
TAIZ-NFR-003,7,6,Part 10,زمن استجابة واجهات التطبيقات (API Response Time) أقل من 300 ملي ثانية (ms),MUST,NFR,قياس متوسط زمن استجابة الواجهات الحية,FOUNDATION
TAIZ-NFR-004,7,6,Part 10,زمن تحميل أكبر عنصر محتوى مرئي (LCP) أقل من 2.5 ثانية (Core Web Vitals),MUST,NFR,تقرير مؤشرات Core Web Vitals المعتمد,FOUNDATION
