Req_ID,Category,Level,RFP_Statement_AR,Compliance_Status,Current_Implementation_Evidence,Proposed_Technical_Solution,Effort_Days,Owner_Role
TAIZ-AI-012,SEC,MUST,حماية المساعد الذكي من هجمات حقن الأوامر (Prompt Injection),TO_BUILD,القواعد الأمنية العامة مفروضة في البوابة,تطبيق طبقة حماية (LLM Guardrails) لفحص مدخلات المستخدم,6,AI Specialist
TAIZ-AI-013,SEC,MUST,فرض مصفوفة التحكم بالوصول (RBAC) على استعلامات الذكاء,TO_BUILD,الصلاحيات مفروضة في قاعدة البيانات,حجب نتائج الوثائق غير المصرح للمستخدم بالاطلاع عليها,4,AI Specialist
TAIZ-AI-014,AI,MUST,لوحة حوكمة وتحليلات الذكاء وتصنيف الأسئلة غير المجابة,TO_BUILD,سجل استعلامات عام في قاعدة البيانات,بناء لوحة تحكم رسومية لمراجعة المحادثات وتصنيف الأسئلة,8,AI Specialist
TAIZ-AI-015,AI,MUST,تفعيل آلية التدخل البشري (Human-in-the-loop) لتصحيح الردود,TO_BUILD,تم تصميم واجهة التدقيق البشري,تمكين المشرفين من تصحيح الإجابات وتحديث قاعدة المعرفة,5,AI Specialist
TAIZ-AI-016,AI,MUST,تحقيق مؤشرات الدقة: Recall@10 >= 85% ومعدل غير المدعومة < 5%,TO_BUILD,تم إعداد بيئة اختبار التقييم الآلي,تنفيذ اختبارات القياس وضبط المعاملات لتحقيق المستهدف,6,AI Specialist
TAIZ-SEC-001,SEC,MUST,الامتثال الكامل لمعيار OWASP ASVS v4.0 Level 2 وبنية Zero Trust,FOUNDATION,المنصة تطبق ضوابط أمان في RLS وحماية المسارات,إجراء تدقيق كامل لكافة بنود ASVS Level 2 وتوثيق مصفوفة التحقق,12,Cybersecurity Lead
TAIZ-SEC-002,SEC,MUST,فرض تشفير الاتصالات عبر TLS 1.3 مع إلغاء القديمة وتفعيل HSTS,FOUNDATION,يتم فرض TLS 1.3 مع شهادات SSL المحدثة على الخوادم,تطبيق نفس الإعدادات على خوادم جامعة تعز (تقييم A+),3,DevOps Specialist
TAIZ-SEC-003,SEC,MUST,تشفير البيانات الحساسة أثناء السكون باستخدام AES-256,FOUNDATION,قواعد البيانات ومخازن الملفات مشفرة على مستوى القرص,تفعيل تشفير الحقول الحساسة (Column-Level AES-256) في Postgres,6,Backend Lead
TAIZ-SEC-004,SEC,MUST,الحماية من ثغرات SQLi عبر الاعتماد على Prepared Statements,READY,كافة استعلامات قواعد البيانات تعتمد Prepared Statements و RLS,المحافظة على معايير الأمان وإلزام الكود البرمجي بالنمط الآمن,2,Backend Lead
TAIZ-SEC-005,SEC,MUST,الحماية من ثغرات XSS بتنقية المدخلات بـ DOMPurify وتطبيق CSP,READY,تعقيم المدخلات مفعل في الواجهات الحالية,تطبيق سياسات Content-Security-Policy الصارمة في خادم الويب,3,Frontend Lead
TAIZ-SEC-006,SEC,MUST,الحماية من ثغرات التحكم بالوصول (IDOR / BOLA) عبر RLS و Guards,READY,سياسات RLS تفحص هوية المستخدم وصلاحياته على مستوى كل صف,استمرار تطبيق سياسات الأمان على كافة الجداول الجديدة,3,Backend Lead
TAIZ-SEC-007,SEC,MUST,فحص الملفات المرفوعة لحظياً بواسطة ICAP Antivirus / Sandbox,TO_BUILD,يتم التحقق من نوع MIME وامتداد الملف برمجياً,ربط خادم التخزين بخدمة فحص ICAP / ClamAV Antivirus لحظياً,7,DevOps Specialist
TAIZ-SEC-008,SEC,MUST,حظر الامتدادات الخطرة (.exe, .php, .sh) وعزل التخزين,READY,قائمة الامتدادات المسموحة محددة بدقة في كود الرفع,عزل وسائط التخزين في MinIO ومنع تنفيذ أي ملفات مرفوعة,2,Backend Lead
