Requirement_ID,Page_Number,Requirement_Title,Obligation_Level,Architecture_Component,Design_Decision_ADR,Acceptance_Evidence_Artifact,Delivery_Phase,Responsible_Role,Risk_Classification,Clarification_Required
REQ-ARC-001,"4, 5, 24, 25",معمارية Modular Monolith القابلة للتوسع,MUST,System Architecture & Technology Stack,"ADR-01, ADR-06, ADR-07, ADR-08",Architecture Document D-05 & Helm Charts,Phase 1-2 (W1-W12),Solutions Architect,HIGH,Server hardware specs
REQ-ARC-002,"5, 6, 24, 25",حزمة التقنيات المعتمدة (Next.js/React + Tailwind + NestJS/FastAPI + PostgreSQL + Redis),MUST,System Architecture & Technology Stack,"ADR-01, ADR-06, ADR-07, ADR-08",Architecture Document D-05 & Helm Charts,Phase 1-2 (W1-W12),Solutions Architect,HIGH,Server hardware specs
REQ-ARC-003,"5, 6, 7, 24, 25",بيئة الحاويات Docker و Kubernetes (K8s) والأتمتة,MUST,System Architecture & Technology Stack,"ADR-01, ADR-06, ADR-07, ADR-08",Architecture Document D-05 & Helm Charts,Phase 1-2 (W1-W12),Solutions Architect,HIGH,Server hardware specs
REQ-ARC-004,"5, 6, 24, 25",تخزين سحابي محلي للوسائط MinIO (S3-Compatible),MUST,System Architecture & Technology Stack,"ADR-01, ADR-06, ADR-07, ADR-08",Architecture Document D-05 & Helm Charts,Phase 1-2 (W1-W12),Solutions Architect,HIGH,Server hardware specs
REQ-FR-001,"8, 23, 26, 37",توفير موقع إلكتروني رسمي متكامل لجامعة تعز,MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-FR-002,"8, 14, 15, 23, 24, 26, 37",منصة إدارة محتوى متعددة المواقع لـ 25 موقعاً فرعياً (RTM-01 / BOQ 1.3),MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-FR-003,"8, 9, 10, 11, 12, 23, 26, 37",محرر صفحات مرن (Block/WYSIWYG) مع دورة حياة المحتوى والنشر,MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-FR-004,"8, 9, 10, 11, 37",إدارة الأخبار، الإعلانات، الفعاليات والتقويم الجامعي,MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-FR-005,"10, 11, 37",دليل البرامج الأكاديمية وملفات أعضاء هيئة التدريس,MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-FR-006,"11, 12, 37",أداة بناء النماذج الإلكترونية ومكتبة الوسائط المركزية,MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-FR-007,"15, 16, 26, 37",نظام التصميم الموحد (Design System) والقوالب المشتركة,MUST,Multi-Site CMS & Content Lifecycle (25 Sites),"ADR-02, ADR-10",Multi-Site Engine D-03 & Design System D-08,Phase 2 (W5-W12),Frontend / Backend Lead,HIGH,Subdomain DNS delegation
REQ-IAM-001,"6, 7, 18, 23, 26, 38",نظام الدخول الموحد (SSO/MFA) عبر Keycloak/OIDC (RTM-02 / BOQ 2.4),MUST,"Identity, SSO, MFA & RBAC",ADR-03,Keycloak IAM Integration D-05,Phase 2 (W5-W12),Backend Lead,HIGH,SMS Gateway provider
REQ-IAM-002,"12, 16, 18, 26, 34, 38",التحكم في الوصول القائم على الدور (RBAC) ومبدأ Least Privilege,MUST,"Identity, SSO, MFA & RBAC",ADR-03,Keycloak IAM Integration D-05,Phase 2 (W5-W12),Backend Lead,HIGH,SMS Gateway provider
REQ-PTL-001,"18, 19, 23, 26, 38",بوابة الطالب الرقمية وتتبع المعاملات (Student Portal / BOQ 2.1),MUST,"Unified Portals (Student, Faculty, Staff)","ADR-01, ADR-03, ADR-12",Portals Software D-03 & Workflows,Phase 2-3 (W5-W20),Frontend / Backend Lead,HIGH,None
REQ-PTL-002,"18, 23, 26, 38",بوابة عضو هيئة التدريس (Faculty Portal / BOQ 2.2),MUST,"Unified Portals (Student, Faculty, Staff)","ADR-01, ADR-03, ADR-12",Portals Software D-03 & Workflows,Phase 2-3 (W5-W20),Frontend / Backend Lead,HIGH,None
REQ-PTL-003,"18, 23, 26, 38",بوابة الموظفين والخدمات الإدارية (Staff Portal / BOQ 2.3),MUST,"Unified Portals (Student, Faculty, Staff)","ADR-01, ADR-03, ADR-12",Portals Software D-03 & Workflows,Phase 2-3 (W5-W20),Frontend / Backend Lead,HIGH,None
REQ-AI-001,"6, 7, 20, 21, 22, 23, 25, 27, 38",محرك RAG محلي سيادي واستضافة 100% On-Premises (RTM-03 / BOQ 3.1),MUST,Sovereign Local RAG & Arabic NLP,ADR-05,Local RAG Service D-07 & Evaluation Suite,Phase 3 (W13-W20),AI/RAG Specialist,CRITICAL,GPU server availability
REQ-AI-002,"20, 27, 38",المعالجة الصرفية العربية والبحث الهجين (Arabic NLP & Hybrid Search / BOQ 3.2),MUST,Sovereign Local RAG & Arabic NLP,ADR-05,Local RAG Service D-07 & Evaluation Suite,Phase 3 (W13-W20),AI/RAG Specialist,CRITICAL,GPU server availability
REQ-AI-003,"20, 21, 22, 23, 30, 38",تحقيق دقة استرجاع Recall@10 > 95% وزمن استجابة < 2.5s,MUST,Sovereign Local RAG & Arabic NLP,ADR-05,Local RAG Service D-07 & Evaluation Suite,Phase 3 (W13-W20),AI/RAG Specialist,CRITICAL,GPU server availability
REQ-AI-004,"21, 22, 27, 33, 38",منع الهلوسة ولوحة الحوكمة والتدخل البشري (Human-in-the-loop / BOQ 3.3),MUST,Sovereign Local RAG & Arabic NLP,ADR-05,Local RAG Service D-07 & Evaluation Suite,Phase 3 (W13-W20),AI/RAG Specialist,CRITICAL,GPU server availability
REQ-AI-005,"22, 33",الحماية من هجمات Prompt Injection وتأمين طبقة الـ LLM,MUST,Sovereign Local RAG & Arabic NLP,ADR-05,Local RAG Service D-07 & Evaluation Suite,Phase 3 (W13-W20),AI/RAG Specialist,CRITICAL,GPU server availability
REQ-INT-001,"4, 7, 19, 23, 24, 28, 39",بناء وتأمين بوابة API Gateway المركزية (RTM-07 / BOQ 4.1),MUST,Integration Gateway & Legacy Adapters,ADR-04,Kong API Gateway D-05 & Swagger UI,Phase 3 (W13-W20),Backend Lead,HIGH,Legacy DB access protocols
REQ-INT-002,"24, 28, 39",تطوير 4 موصلات للأنظمة القائمة (Legacy Connectors / BOQ 4.2),MUST,Integration Gateway & Legacy Adapters,ADR-04,Kong API Gateway D-05 & Swagger UI,Phase 3 (W13-W20),Backend Lead,HIGH,Legacy DB access protocols
REQ-MIG-001,"5, 7, 23, 24, 30, 31, 39",هجرة المحتوى القديم وأرشفة الروابط عبر 301 Redirects (RTM-09 / BOQ 4.3),MUST,Data Migration & 301 Redirects,ADR-02,ETL Scripts D-09 & 301 Redirect Map,Phase 4 (W21-W24),Content/Training Lead,HIGH,Legacy CMS database dumps
REQ-SEO-001,"6, 13, 23, 24, 26, 35, 37",محرك SEO الآلي والفهرسة اللحظية والبيانات المنظمة (RTM-06 / BOQ 1.4),MUST,Automated SEO & Structured Data (Public),"ADR-02, ADR-10",JSON-LD Modules & Sitemap Engine,Phase 4 (W21-W24),Frontend Lead,MEDIUM,None
REQ-SEC-001,"6, 7, 23, 24, 27, 34, 39",التوافق التام مع معيار OWASP ASVS v4.0 Level 2 (RTM-04 / BOQ 5.1),MUST,"Cybersecurity, OWASP ASVS L2 & Pentest",ADR-09,ASVS L2 Verification & Pentest Report D-06,Phase 4-5 (W21-W28),Cybersecurity Specialist,CRITICAL,Third-party audit scope
REQ-SEC-002,"7, 23, 27, 34, 39",التشفير الصارم أثناء الحركة (TLS 1.3) والسكون (AES-256),MUST,"Cybersecurity, OWASP ASVS L2 & Pentest",ADR-09,ASVS L2 Verification & Pentest Report D-06,Phase 4-5 (W21-W28),Cybersecurity Specialist,CRITICAL,Third-party audit scope
REQ-SEC-003,"7, 23, 27, 29, 30, 32, 34, 39",تقرير فحص واختبار اختراق معتمد من طرف ثالث (Penetration Test / BOQ 5.2),MUST,"Cybersecurity, OWASP ASVS L2 & Pentest",ADR-09,ASVS L2 Verification & Pentest Report D-06,Phase 4-5 (W21-W28),Cybersecurity Specialist,CRITICAL,Third-party audit scope
REQ-SEC-004,"13, 34",سجلات تدقيق العمليات الحساسة (Immutable Audit Trail),MUST,"Cybersecurity, OWASP ASVS L2 & Pentest",ADR-09,ASVS L2 Verification & Pentest Report D-06,Phase 4-5 (W21-W28),Cybersecurity Specialist,CRITICAL,Third-party audit scope
REQ-SEC-005,34,فحص الملفات بمضاد فيروسات (Antivirus/Sandbox) وحظر الملحقات الخطرة,MUST,"Cybersecurity, OWASP ASVS L2 & Pentest",ADR-09,ASVS L2 Verification & Pentest Report D-06,Phase 4-5 (W21-W28),Cybersecurity Specialist,CRITICAL,Third-party audit scope
REQ-PRF-001,"6, 7, 24, 28, 30, 32, 34, 39","دعم 5,000 مستخدم متزامن والتوسع لـ 25,000 مع LCP < 2.5s (RTM-08 / BOQ 5.3)",MUST,"Performance, Caching & Concurrency (5k CCU)","ADR-06, ADR-08",Locust Load Test Reports (5k CCU) D-10,Phase 5 (W25-W28),DevOps Specialist,HIGH,None
REQ-PRF-002,"24, 25, 28, 33",طبقة التخزين المؤقت الموزعة Redis Cluster,MUST,"Performance, Caching & Concurrency (5k CCU)","ADR-06, ADR-08",Locust Load Test Reports (5k CCU) D-10,Phase 5 (W25-W28),DevOps Specialist,HIGH,None
REQ-UXA-001,"6, 8, 14, 15, 24, 28, 30, 37",مطابقة النفاذية الرقمية WCAG 2.2 Level AA (RTM-05 / BOQ 1.1),MUST,Accessibility WCAG 2.2 AA & RTL,ADR-10,axe-core A11y Audit Report D-08,Phase 2 (W5-W12),Frontend Lead,MEDIUM,None
REQ-UXA-002,"5, 6, 8, 37",التصميم المتجاوب الكامل ودعم الاتجاهين (RTL / LTR),MUST,Accessibility WCAG 2.2 AA & RTL,ADR-10,axe-core A11y Audit Report D-08,Phase 2 (W5-W12),Frontend Lead,MEDIUM,None
REQ-BCP-001,"7, 17, 28, 30, 39",استراتيجية التعافي من الكوارث (RPO <= 1h و RTO <= 4h / BOQ 5.4),MUST,Disaster Recovery & WAL Streaming,ADR-11,DRP Plan D-09 & Failover Runbook,Phase 4 (W21-W24),DevOps Specialist,HIGH,Secondary DR datacenter network
REQ-QA-001,"30, 34",تغطية اختبارات Unit Test >= 75% وخلو النظام من Critical Bugs,MUST,Quality Assurance & Test Coverage (>75%),"ADR-01, ADR-12",Test Coverage Reports (>75%) D-10,Phase 5 (W25-W28),Backend Lead,MEDIUM,None
REQ-DOC-001,"7, 23, 29, 30, 31, 34, 40","حزمة التوثيق الشاملة باللغة العربية (SRS, SDD, API, Ops, User Manuals / BOQ 6.3)",MUST,Comprehensive Arabic Documentation,ADR-01,16 Deliverables Arabic Package D-01-D-16,Phase 4-6 (W21-W32),Content/Training Lead,LOW,None
REQ-TRN-001,"7, 31, 32, 33, 34, 40",تنفيذ برنامج تدريبي عملي لـ 80 ساعة تدريبية لـ 40 متدرباً (BOQ 6.1 - 6.2),MUST,Training & Knowledge Transfer (80h),ADR-01,Training Curricula & Sign-off Sheets,Phase 6 (W29-W32),Content/Training Lead,MEDIUM,Trainee nomination lists
REQ-SLA-001,"23, 28, 30, 36, 40, 41",الضمان المجاني الشامل والدعم الفني لمدة 12 شهراً وفق SLA (BOQ 7.1 - 7.2),MUST,12-Month Free Warranty & SLA Support,ADR-01,SLA Agreement D-11 & Support Portal,Phase 6 (Post-Launch 12M),Project Manager,HIGH,None
REQ-HR-001,"32, 35, 36",مدير مشروع معتمد PMP/PRINCE2 بخبرة >= 8 سنوات (تفرغ 100%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),PMP/PRINCE2 Certificate & Verified CV,Tender Submission,HR / Project Manager,CRITICAL,None
REQ-HR-002,"32, 35, 36",قائد معمارية الحلول معتمد TOGAF / AWS بخبرة >= 10 سنوات (تفرغ 50%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),TOGAF/AWS Certificate & Verified CV,Tender Submission,HR / Solutions Architect,CRITICAL,None
REQ-HR-003,"32, 35, 36",قائد الخدمات الخلفية بكالوريوس هندسة/حاسوب بخبرة >= 7 سنوات (تفرغ 100%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),BSc Degree & Verified CV (>=7y),Tender Submission,HR / Backend Lead,HIGH,None
REQ-HR-004,"32, 35, 36",قائد واجهات ونفاذية بكالوريوس حاسوب بخبرة >= 6 سنوات (تفرغ 100%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),BSc Degree & Verified CV (>=6y),Tender Submission,HR / Frontend Lead,HIGH,None
REQ-HR-005,"32, 35, 36",مهندس ذكاء اصطناعي ماجستير/بكالوريوس ذكاء اصطناعي بخبرة >= 5 سنوات (تفرغ 75%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),MSc/BSc AI Degree & Verified CV (>=5y),Tender Submission,HR / AI Specialist,CRITICAL,None
REQ-HR-006,"32, 35, 36",خبير أمن سيبراني حاصل على CISSP / CEH / ISO 27001 بخبرة >= 6 سنوات (تفرغ 40%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),CISSP/CEH/ISO27001 Certificate & CV,Tender Submission,HR / Cyber Specialist,CRITICAL,None
REQ-HR-007,"33, 35, 36",مهندس عمليات DevOps معتمد CKA / Docker بخبرة >= 5 سنوات (تفرغ 50%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),CKA/Docker Certificate & Verified CV,Tender Submission,HR / DevOps Specialist,CRITICAL,None
REQ-HR-008,"33, 35, 36",أخصائي ترحيل محتوى وتدريب بكالوريوس نظم معلومات بخبرة >= 4 سنوات (تفرغ 100%),MUST,OUTSIDE_ARCHITECTURE_WITH_OWNER (Owner: Human Resources / PMO),N/A (HR Qualification),BSc IS Degree & Verified CV (>=4y),Tender Submission,HR / Content Lead,HIGH,None
REQ-TIM-001,"23, 31, 32",الالتزام بمدة التنفيذ الإجمالية (32 أسبوعاً موزعة على 6 مراحل),MUST,Implementation Timeline (32 Weeks),ADR-01,Gantt Chart & WBS Matrix D-02,All Phases (W1-W32),Project Manager,HIGH,None
