Requirement_ID,Page_Number,Requirement_Summary,Compliance_Status,Repo_Evidence_Path,Reusable_Asset_Description,Technical_Gap_Description,Required_Action,Effort_Size,Strategy_Build_Buy_Partner,Risk_Level,Impact_On_Score,Demo_Required,Third_Party_Audit_Required
REQ-FR-005,"10, 11, 37",دليل البرامج الأكاديمية وملفات أعضاء هيئة التدريس,PARTIALLY_COMPLIANT,"src/components/academic/, src/components/councils/",جداول الخطط الدراسية، بيانات الكادر التدريسي والمجالس الأكاديمية,بناء الواجهات العامة لدليل البرامج وتوصيف المقررات والسير الذاتية التفاعلية,تطوير واجهات دليل البرامج الأكاديمية وملفات أعضاء هيئة التدريس المتاحة للجمهور,M,Build,MEDIUM,المعمارية والمنهجية (25%),Yes,No
REQ-FR-006,"11, 12, 37",أداة بناء النماذج الإلكترونية ومكتبة الوسائط المركزية,PARTIALLY_COMPLIANT,"src/components/ui/form.tsx, src/lib/documents/",مكتبات التحقق React Hook Form + Zod، ومكونات رفع الملفات,غياب واجهة سحب وإفلات لإنشاء النماذج ديناميكياً (Form Builder) ومكتبة الوسائط المركزية,تطوير أداة Form Builder ديناميكية ولوحة إدارة الوسائط Media Library مع Alt Text,M,Build,MEDIUM,المعمارية والمنهجية (25%),Yes,No
REQ-FR-007,"15, 16, 26, 37",نظام التصميم الموحد (Design System) والقوالب المشتركة,COMPLIANT,"src/components/ui/, src/assets/fonts/cairo/",نظام تصميم متكامل مبني على Radix UI + TailwindCSS وخط Cairo المعتمد,تجهيز قوالب المواقع الفرعية وتوثيق الـ Design System في ملفات Figma,توثيق الـ Design System وتجهيز القوالب المشتركة للمواقع الـ 25,S,Build,LOW,تجربة المستخدم والنفاذية (10%),Yes,No
REQ-IAM-001,"6, 7, 18, 23, 26, 38",الدخول الموحد (SSO/MFA) عبر Keycloak/OIDC (RTM-02),PARTIALLY_COMPLIANT,"src/components/auth/, src/lib/auth/, supabase/auth",نظام مصادقة متكامل، إدارة جلسات، تشفير، وتدفقات تسجيل الدخول,دمج وتكوين خادم Keycloak مستقل بروتوكولياً وتفعيل MFA الإلزامي للإداريين,تجهيز خادم Keycloak وربط بوابات الطلاب والأكاديميين والموظفين عبر OIDC مع MFA,M,Build,HIGH,معيار RTM-02 الرئيسي (25%),Yes,No
REQ-IAM-002,"12, 16, 18, 26, 34, 38",التحكم في الوصول القائم على الدور (RBAC) ومبدأ Least Privilege,COMPLIANT,"src/lib/security/, supabase/migrations/, tests/",نظام صارم للأدوار والوحدات التشغيلية (processing_unit / processing_role) مع RLS,توسيع مصفوفة الصلاحيات لتشمل مسؤولي المواقع الفرعية ومحرري الكليات الـ 25,إضافة أدوار محرر ومراجع الكلية إلى مصفوفة الصلاحيات وتدقيق قواعد RLS,S,Build,LOW,الأمن السيبراني والأداء (15%),No,No
REQ-PTL-001,"18, 19, 23, 26, 38",بوابة الطالب وتتبع المعاملات التفاعلي (BOQ 2.1),COMPLIANT,"src/components/student-requests/, src/routes/requests.tsx, tests/student-requests/",منظومة طلبات طلابية متكاملة (إيقاف قيد، غياب، سحب ملف، تعديل مسار، إخلاء طرف، وتتبع المعاملات),ربط البوابة بمركز الإشعارات الفورية والمساعد الذكي التفاعلي,إتمام تكامل واجهات المساعد الذكي وتتبع مسارات الرسوم في البوابة,S,Build,LOW,المعمارية والمنهجية (25%),Yes,No
REQ-PTL-002,"18, 23, 26, 38",بوابة عضو هيئة التدريس وإدارة المقررات والمجالس (BOQ 2.2),COMPLIANT,"src/components/councils/, src/components/graduation-projects/, src/routes/councils.tsx",إدارة المجالس الأكاديمية، القرارات والمحاضر، ومشاريع التخرج، وتسجيل الحضور,إضافة واجهات رصد الدرجات وإدارة الأبحاث والسيرة الذاتية للأكاديمي,استكمال شاشات رصد الدرجات الأكاديمية وإدارة الأبحاث المنشورة,M,Build,LOW,المعمارية والمنهجية (25%),Yes,No
REQ-PTL-003,"18, 23, 26, 38",بوابة الموظفين الإدارية والخدمات والمراسلات (BOQ 2.3),PARTIALLY_COMPLIANT,"src/components/admin/staff-management/, src/routes/admin/",إدارة الكادر الوظيفي، وتعيين الأدوار، والصلاحيات الإدارية وسجلات العمل,بناء نماذج طلبات الإجازات والمغادرات، واستعراض كشف الراتب، والمراسلات الداخلية,تطوير واجهات طلبات الإجازات الإدارية ونظام المراسلات الداخلية وكشوفات الرواتب,M,Build,MEDIUM,المعمارية والمنهجية (25%),Yes,No
REQ-AI-001,"6, 7, 20, 21, 22, 23, 25, 27, 38",محرك RAG محلي سيادي واستضافة 100% On-Premises (RTM-03),NOT_COMPLIANT,N/A (AI components not present in repo),لا يوجد كود ذكاء اصطناعي حالياً بالمستودع,غياب محرك RAG المحلي، وقاعدة البيانات المتجهية Qdrant، ونماذج Llama 3 / Qwen 2.5 المستضافة محلياً,تطوير خدمة RAG متكاملة بلغة Python (FastAPI + Qdrant + Ollama/vLLM) ونموذج bge-m3 محلياً,XL,Build,CRITICAL,معيار RTM-03 الرئيسي (15%),Yes,No
REQ-AI-002,"20, 27, 38",المعالجة الصرفية العربية والبحث الهجين (BOQ 3.2),NOT_COMPLIANT,N/A (Arabic NLP pipeline missing),لا يوجد بالمستودع,غياب أنابيب التجذير والتنقية الصرفية (Farasa / CamelTools) ومحرك البحث الهجين RRF,بناء موديول المعالجة الصرفية العربية ودمج BM25 مع Vector Search عبر خوارزمية RRF,L,Build,HIGH,قدرات الذكاء الاصطناعي (15%),Yes,No
REQ-AI-003,"20, 21, 22, 23, 30, 38",تحقيق دقة استرجاع Recall@10 > 95% وزمن استجابة < 2.5s,NOT_COMPLIANT,N/A (Evaluation framework missing),لا يوجد إطار تقييم للذكاء الاصطناعي بالمستودع,غياب بنك الأسئلة الجامعية وأدوات قياس دقة الاسترجاع RAG Evaluation Suite,إعداد وتغذية بنك الأسئلة باللوائح الجامعية وتشغيل اختبارات Recall@10 و MRR وتوثيقها,M,Build,HIGH,قدرات الذكاء الاصطناعي (15%),Yes,No
REQ-AI-004,"21, 22, 27, 33, 38",منع الهلوسة ولوحة الحوكمة والتدخل البشري (BOQ 3.3),NOT_COMPLIANT,N/A (AI Governance missing),لا يوجد بالمستودع,غياب لوحة حوكمة الذكاء الاصطناعي، وفلاتر حظر التوليد الحر، ونظام التدخل البشري,تطوير لوحة حوكمة الـ AI وضبط قيود التوليد بالإسناد الحصري للمصادر المعتمدة,M,Build,HIGH,قدرات الذكاء الاصطناعي (15%),Yes,No
REQ-AI-005,"22, 33",الحماية من هجمات Prompt Injection وتأمين الـ LLM,NOT_COMPLIANT,N/A (LLM Guardrails missing),لا يوجد بالمستودع,غياب فلاتر الحماية ضد حقن الأوامر (Prompt Injection Guardrails),تطبيق طبقة حماية أمنية للمدخلات (NeMo Guardrails / Llama-Guard) وفحص التهديدات,M,Build,MEDIUM,الأمن السيبراني والأداء (15%),No,No
REQ-INT-001,"4, 7, 19, 23, 24, 28, 39",بوابة API Gateway المركزية وتوثيق Swagger (RTM-07),NOT_COMPLIANT,src/integrations/supabase/,اتصال مباشر بقاعدة البيانات عبر PostgREST و Supabase Client,غياب طبقة API Gateway وسيطة (Kong / Envoy) وتوثيق Swagger/OpenAPI الموحد,تهيئة Kong API Gateway وتوثيق كافة واجهات النظام بصيغة OpenAPI 3.0 و Swagger UI,L,Build,HIGH,معيار RTM-07 الرئيسي (25%),Yes,No
REQ-INT-002,"24, 28, 39",تطوير 4 موصلات للأنظمة القائمة (Legacy Connectors / BOQ 4.2),NOT_COMPLIANT,src/lib/imports/,أدوات استيراد ومعالجة بيانات الطلاب الأكاديمية بصيغة Excel/CSV,غياب 4 موصلات برمجية حية للقراءة والعرض من أنظمة الـ SIS والـ HR والمالية القائمة,"تطوير 4 موصلات برمجية (SIS Adapter, HR Adapter, Finance Adapter, Legacy DB Adapter)",L,Build,HIGH,المعمارية والمنهجية (25%),Yes,No
REQ-MIG-001,"5, 7, 23, 24, 30, 31, 39",هجرة المحتوى القديم وأرشفة الروابط عبر 301 (RTM-09),NOT_COMPLIANT,src/lib/imports/,بنية استيراد بيانات الطلاب والشهادات,غياب خط أنابيب ETL لسحب وأرشفة محتوى الموقع القديم وخريطة إعادة التوجيه 301,كتابة سكربتات ETL لسحب محتوى الموقع القديم وإعداد جدول تحويلات الروابط 301 Redirects,M,Build,HIGH,معيار RTM-09 الرئيسي (15%),No,No
REQ-SEO-001,"6, 13, 23, 24, 26, 35, 37",محرك SEO الآلي والفهرسة اللحظية والبيانات المنظمة (RTM-06),NOT_COMPLIANT,N/A (SEO engine missing),لا يوجد محرك SEO تلقائي بالمستودع,غياب التوليد التلقائي لـ Schema.org JSON-LD، وملف sitemap.xml، والربط بـ Indexing APIs,تطوير موديول Auto-SEO في Next.js لتوليد البيانات المنظمة والتكامل مع Google Indexing API,M,Build,HIGH,معيار RTM-06 الرئيسي (15%),Yes,No
REQ-SEC-001,"6, 7, 23, 24, 27, 34, 39",التوافق التام مع معيار OWASP ASVS v4.0 Level 2 (RTM-04),PARTIALLY_COMPLIANT,"src/lib/security/, tests/academic-councils/councils-c9-security-concurrency.test.ts",ضوابط تفويض صارمة، سياسات RLS، تطهير المدخلات، ومنع تجاوز الصلاحيات,استكمال التوثيق الرسمي لمصفوفة ASVS L2 وفحص كافة الـ Endpoints,إجراء فحص أمني شامل وإعداد مصفوفة الامتثال لمعيار OWASP ASVS Level 2,M,Build,HIGH,معيار RTM-04 الرئيسي (15%),No,No
REQ-SEC-002,"7, 23, 27, 34, 39",التشفير الصارم أثناء الحركة (TLS 1.3) والسكون (AES-256),COMPLIANT,"src/lib/security/, supabase/",تشفير الاتصالات، وتشفير البيانات الحساسة وكلمات المرور في قاعدة البيانات,تطبيق إعدادات TLS 1.3 في الـ Reverse Proxy وخوادم التطبيق,تكوين إعدادات Nginx/Envoy لفرض TLS 1.3 فقط وفحص تقييم SSL Labs,S,Build,LOW,الأمن السيبراني والأداء (15%),No,No
REQ-SEC-003,"7, 23, 27, 29, 30, 32, 34, 39",تقرير فحص واختبار اختراق معتمد من طرف ثالث (BOQ 5.2),UNKNOWN_NEEDS_EVIDENCE,tests/ (اختبارات أمنية داخلية شاملة بالمستودع),وجود اختبارات أمنية داخلية قوية بالمستودع,غياب تقرير اختبار اختراق رسمي معتمد ومختوم من شركة أمنية مستقلة مرخصة (Third-Party),التعاقد مع جهة أمنية معتمدة لإجراء الفحص الخارجي وإصدار التقرير النظيف,L,Partner,CRITICAL,شرط استلام تشغيلي إلزامي للدفعة الرابعة (30%),No,Yes
REQ-SEC-004,"13, 34",سجلات تدقيق العمليات الحساسة (Immutable Audit Trail),COMPLIANT,"supabase/migrations/, src/lib/operations/",سجلات تدقيق للعمليات الحساسة والقرارات والتعديلات ومنع الحذف,توسيع سجلات التدقيق لتشمل كافة عمليات الـ CMS والمواقع الفرعية,تفعيل Triggers لسجلات تدقيق عمليات الـ CMS والمواقع الفرعية,S,Build,LOW,الأمن السيبراني والأداء,No,No
REQ-SEC-005,34,فحص الملفات بمضاد فيروسات (Antivirus) وحظر الملحقات الخطرة,PARTIALLY_COMPLIANT,src/lib/documents/,التحقق من أنواع الملفات والامتدادات المسموحة والحجم الأقصى,ربط خدمة فحص الفيروسات عبر ICAP / ClamAV لفحص الملفات المرفوعة حياً,تكامل خدمة ClamAV / ICAP في خط أنابيب رفع الملفات,S,Build,LOW,الأمن السيبراني والأداء,No,No
REQ-PRF-001,"6, 7, 24, 28, 30, 32, 34, 39","دعم 5,000 متزامن والتوسع لـ 25,000 مع LCP < 2.5s (RTM-08)",PARTIALLY_COMPLIANT,"vite.config.ts, package.json, tests/",أداء واجهات فائق السرعة عبر React 19 وبناء خفيف,"غياب سيناريوهات اختبارات الضغط Locust/JMeter واختبار التحمل لـ 5,000 مستخدم حي","كتابة وتجهيز سكريبتات Locust ومحاكاة 5,000 مستخدم متزامن وقياس مؤشرات الأداء",M,Build,HIGH,معيار RTM-08 الرئيسي (15%),Yes,No
REQ-PRF-002,"24, 25, 28, 33",طبقة التخزين المؤقت الموزعة Redis Cluster,NOT_COMPLIANT,N/A (Redis not configured in repo),لا يوجد إعداد Redis حالياً بالمستودع,غياب خدمة Redis للتخزين المؤقت للجلسات ونتائج الاستعلامات المتكررة,دمج Redis Cluster في طبقة الخدمات الخلفية وكاش استعلامات الـ CMS والبوابات,S,Build,LOW,الأمن السيبراني والأداء,No,No
REQ-UXA-001,"6, 8, 14, 15, 24, 28, 30, 37",مطابقة النفاذية الرقمية WCAG 2.2 Level AA (RTM-05),PARTIALLY_COMPLIANT,"src/components/ui/, tests/academic-councils/councils-c0-c9-ui-a11y-rtl.test.ts",مكونات Radix UI المهيأة لإمكانية الوصول، وتوافق تباين الألوان ودعم لوحة المفاتيح,استكمال فحص كافة الواجهات بأداة axe-core وتوثيق تقرير النفاذية الرسمي,تشغيل فحص axe-core على كامل صفحات الموقع والبوابات وإصدار التقرير المعتمد,S,Build,LOW,معيار RTM-05 الرئيسي (10%),Yes,No
REQ-UXA-002,"5, 6, 8, 37",التصميم المتجاوب الكامل ودعم الاتجاهين (RTL / LTR),COMPLIANT,"src/assets/fonts/cairo/, package.json (bidi-js), src/components/",دعم كامل للغة العربية والـ RTL عبر خط Cairo و bidi-js والتصميم المتجاوب,تطبيق نفس معايير الخطوط والـ RTL على واجهات الموقع الرئيسي والمواقع الـ 25,تطبيق الهوية العربية على كافة قوالب المواقع الفرعية الجديدة,S,Build,LOW,تجربة المستخدم والنفاذية (10%),Yes,No
REQ-BCP-001,"7, 17, 28, 30, 39",خطة التعافي من الكوارث RPO <= 1h و RTO <= 4h (BOQ 5.4),PARTIALLY_COMPLIANT,"src/components/admin/backup/, supabase/",أدوات النسخ الاحتياطي اليدوي والتلقائي واستعادة قواعد البيانات,تكوين PostgreSQL WAL Streaming للنسخ المستمر جغرافياً وتوثيق خطة الـ Failover,إعداد تكوين WAL Streaming وكتابة دليل التعافي من الكوارث DRP واختبار الاستعادة,M,Build,MEDIUM,الأمن السيبراني والأداء,No,No
REQ-QA-001,"30, 34",تغطية اختبارات Unit Test >= 75% وخلو النظام من Critical Bugs,COMPLIANT,"tests/, package.json",مجموعة ضخمة من الاختبارات التلقائية (Vitest/Bun) تغطي البوابات والطلبات والصلاحيات,الحفاظ على نسبة التغطية عند إضافة وحدات الـ CMS والـ RAG وبوابة الـ APIs,إضافة اختبارات أحادية للموديولات الجديدة وتشغيل فحص التغطية في خط الـ CI,S,Build,LOW,الأمن السيبراني والأداء (15%),No,No
REQ-DOC-001,"7, 23, 29, 30, 31, 34, 40",حزمة التوثيق الشاملة باللغة العربية (BOQ 6.3),PARTIALLY_COMPLIANT,docs/ (عشرات وثائق التحليل والمعمارية والتقارير),توثيق غني جداً بالمستودع لكافة المسارات والقرارات الهندسية,تجميع وتنسيق الوثائق الـ 16 باللغة العربية وفق متطلبات الكراسة (SRS/SDD/Ops Manuals),إعداد المجلد الفني والأدلة التشغيلية للمستخدمين والمسؤولين باللغة العربية,M,Build,LOW,المعمارية والمنهجية (25%),No,No
REQ-TRN-001,"7, 31, 32, 33, 34, 40",برنامج التدريب العملي لـ 80 ساعة لـ 40 متدرباً (BOQ 6.1 - 6.2),NOT_COMPLIANT,N/A (Training execution asset),لا يوجد مواد تدريبية متكاملة بالمستودع,غياب الحقائب التدريبية التفصيلية وجداول الورش ومقاطع الفيديو الإرشادية,إعداد الحقائب التدريبية لـ 80 ساعة وتسجيل مقاطع الفيديو التوضيحية بالعربية,M,Build,MEDIUM,سابقة الأعمال وخطة التنفيذ (15%),No,No
REQ-SLA-001,"23, 28, 30, 36, 40, 41",الضمان المجاني الشامل 12 شهراً و SLA (BOQ 7.1 - 7.2),COMPLIANT,docs/tender/taiz-2026/analysis/TAIZ_TENDER_00_DELIVERABLES_ACCEPTANCE.md,تضمين شروط الصيانة والدعم الفني ومستويات SLA (P1 <= 2h) في وثائق التسليم,توقيع اتفاقية الصيانة الرسمية مع الجامعة عند الاستلام الابتدائي,إدراج مسودة اتفاقية مستوى الخدمة SLA في المظروف الفني,S,Build,LOW,خطة الصيانة والـ SLA (Pass/Fail),No,No
REQ-HR-001,"32, 35, 36",مدير مشروع معتمد PMP/PRINCE2 بخبرة >= 8 سنوات,UNKNOWN_NEEDS_EVIDENCE,N/A (HR Qualification),لا يوجد سير ذاتية بالمستودع,توفير سيرة ذاتية وشهادة PMP/PRINCE2 سارية المفعول لمدير المشروع وتفرغ 100%,تأمين المرشح والتحقق من شهادة الـ PMP وخطاب التفرغ وإدراجه بالمظروف الفني,M,Partner,CRITICAL,مؤهلات فريق العمل (10%),No,Yes
REQ-HR-002,"32, 35, 36",قائد معمارية الحلول معتمد TOGAF / AWS بخبرة >= 10 سنوات,UNKNOWN_NEEDS_EVIDENCE,N/A (HR Qualification),لا يوجد سير ذاتية بالمستودع,توفير سيرة ذاتية وشهادة TOGAF / AWS Architect سارية لقائد المعمارية وتفرغ 50%,تأمين المرشح والتحقق من شهادة TOGAF/AWS وإدراج ملفه بالمظروف الفني,M,Partner,CRITICAL,مؤهلات فريق العمل (10%),No,Yes
REQ-HR-003,"32, 35, 36",قائد الخدمات الخلفية بكالوريوس حاسوب بخبرة >= 7 سنوات,UNKNOWN_NEEDS_EVIDENCE,N/A (HR Qualification),لا يوجد سير ذاتية بالمستودع,توفير السيرة الذاتية والمؤهل الجامعي لقائد الباك إند وتفرغ 100%,تأمين وتوثيق سيرة قائد الباك إند وإدراجها بالمظروف الفني,S,Partner,HIGH,مؤهلات فريق العمل (10%),No,Yes
REQ-HR-004,"32, 35, 36",قائد الواجهات والنفاذية بكالوريوس حاسوب بخبرة >= 6 سنوات,UNKNOWN_NEEDS_EVIDENCE,N/A (HR Qualification),لا يوجد سير ذاتية بالمستودع,توفير السيرة الذاتية والمؤهل الجامعي لقائد الواجهات والنفاذية وتفرغ 100%,تأمين وتوثيق سيرة قائد الواجهات وإدراجها بالمظروف الفني,S,Partner,HIGH,مؤهلات فريق العمل (10%),No,Yes
REQ-HR-005,"32, 35, 36",مهندس الذكاء الاصطناعي ماجستير/بكالوريوس AI بخبرة >= 5 سنوات,UNKNOWN_NEEDS_EVIDENCE,N/A (HR Qualification),لا يوجد سير ذاتية بالمستودع,توفير سيرة ذاتية ومؤهل في الذكاء الاصطناعي وخبرة في RAG المحلي وتفرغ 75%,تأمين خبير الـ AI وتوثيق مشاريع RAG سابقة له وإدراج ملفه بالعرض الفني,L,Partner,CRITICAL,مؤهلات فريق العمل (10%),No,Yes
