Table_Number,Table_Name,Item_Number,Description_Technical_Details,Unit,Quantity,Payment_Milestone_Mapping,Required_Evidence,Verification_Method,Page_Number
Table 3,حلول وتقنيات الذكاء الاصطناعي (AI & RAG Engine),3.3,لوحة حوكمة وتحليلات الذكاء الاصطناعي: أدوات المراقبة، التدخل البشري (Human-in-the-loop)، وسجلات التدقيق وضبط الدقة (Accuracy) ومكافحة Prompt Injection.,وحدة,1,الدفعة الثالثة (35%),لوحة تحكم حوكمة الـ AI، سجلات الاستفسارات والردود، مراجعة وتعديل الإجابات غير المدعومة، سد ثغرات الحقن,اختبار محاولات Prompt Injection واختبار آليات المراجعة البشرية,38
Table 4,طبقة التكامل والربط مع الأنظمة القائمة (APIs & Integration Layer),4.1,بناء بوابة الواجهات (API Gateway): توفير آليات الربط والتأمين والتحكم بحركة البيانات وحماية المعدلات (Rate Limiting) مع الأنظمة الجامعية القائمة.,بوابة,1,الدفعة الرابعة (30%),طبقة API Gateway (Kong/Envoy)، توثيق Swagger/OpenAPI، ضوابط المصادقة والتأمين ومحددات السرعة,اختبارات حقن البيانات ومراقبة حركة المرور وتأمين نقاط النهاية,39
Table 4,طبقة التكامل والربط مع الأنظمة القائمة (APIs & Integration Layer),4.2,موصلات الأنظمة القائمة (Legacy Connectors): ربط بيانات نظام الطالب (SIS)، ونظام الموارد البشرية، والمالية (قراءة وعرض فقط دون تعديل مباشر).,موصل,4,الدفعة الرابعة (30%),"4 موصلات بيانات آمنة للقراءة والعرض (SIS, HR, Finance, Legacy DB)، آليات التخزين المؤقت",التحقق من صحة سحب البيانات الحية للطلاب والموظفين والمالية دون التأثير على الأنظمة الأصلية,39
Table 4,طبقة التكامل والربط مع الأنظمة القائمة (APIs & Integration Layer),4.3,ترحيل البيانات (Data Migration): ترحيل محتوى الموقع القديم والأرشيف الإخباري والبيانات التاريخية وتطوير المترجمات وأنابيب ETL وضمان روابط 301 Redirects.,خدمة,1,الدفعة الرابعة (30%),أنابيب ETL، مصفوفة تحويل البيانات المهاجرة، تقرير تدقيق العينات، خريطة تحويل الروابط 301 القديمة,فحص خلو الروابط القديمة من أخطاء 404 وتدقيق عينات المحتوى المهاجر بنسبة مطابقة 100%,39
Table 5,الأمن السيبراني والأداء والبنية التحتية,5.1,تطبيق ضوابط الأمن والتشفير: الالتزام بمعيار OWASP ASVS v4.0 Level 2 والتشفير (TLS 1.3 / AES-256) ومبدأ Zero Trust وحماية BOLA/IDOR و SQLi/XSS.,خدمة,1,الدفعة الرابعة (30%),مصفوفة التحقق الأمني ASVS L2، تشفير البيانات أثناء الحركة والسكون، تكوين WAF، حماية المدخلات,فحص إعدادات التشفير والشهادات وتحليل الكود الثابت SAST,39
Table 5,الأمن السيبراني والأداء والبنية التحتية,5.2,فحص الثغرات واختبار الاختراق (Penetration Testing): إنجاز تقرير فحص أمني واختراق معتمد من طرف ثالث قبل الاستلام التشغيلي وخلو النظام من الثغرات العالية والحادة.,تقرير,1,الدفعة الرابعة (30%),تقرير اختبار اختراق رسمي نظيف ومعتمد من جهة فحص مستقلة مرخصة (Third-Party Security Audit),مراجعة تقرير الفحص والتحقق من إغلاق كافة الثغرات الحرجة والعالية,39
Table 5,الأمن السيبراني والأداء والبنية التحتية,5.3,"اختبارات الضغط والأداء (Load & Stress Testing): محاكاة 5,000 مستخدم متزامن وضبط Core Web Vitals (LCP < 2.5s, API < 300ms) والتوسع حتى 25,000.",خدمة,1,الدفعة الرابعة (30%),تقارير اختبارات الضغط (JMeter / Locust)، تكوين التخزين المؤقت Redis ومراقبة الأداء APM,"تنفيذ اختبار ضغط حي بحمولة 5,000 مستخدم متزامن وقياس زمن الاستجابة ومعدل الخطأ",39
Table 5,الأمن السيبراني والأداء والبنية التحتية,5.4,"إعداد بيئات التشغيل والتعافي (DRP & Backup Setup): ضبط الخوادم والحاويات (Docker/Kubernetes)، بيئة النسخ الاحتياطي الجغرافي، وحلول التعافي (RPO <= 1h, RTO <= 4h).",خدمة,1,الدفعة الرابعة (30%),ملفات Infrastructure-as-Code، إعدادات K8s، تكوين PostgreSQL WAL Streaming، خطة DR الموثقة,إجراء اختبار محاكاة انقطاع الخدمة (Failover Test) وقياس زمن الاستعادة وتطابق البيانات,39
Table 6,التدريب، نقل المعرفة، والتوثيق,6.1,تدريب الكادر التقني للجامعة: برنامج تدريبي متكامل للمهندسين على إدارة التشغيل، الصيانة، البنية التحتية، والشفرة المصدرية (40 ساعة لمهندسي النظام والـ DevOps + 20 ساعة لفرق الأمن والـ AI).,متدرب,10,الدفعة الرابعة (30%),خطة تدريبية تفصيلية، مواد تدريبية، سجلات الحضور، تقييم اجتياز التدريب,تنفيذ ورش عمل تطبيقية واختبار عملي لقدرة الكادر على إدارة النظام وحل الأعطال,40
Table 6,التدريب، نقل المعرفة، والتوثيق,6.2,تدريب إداريي المحتوى: تدريب مسؤولي المواقع الفرعية بالكليات على إضافة المحتوى واستخدام الـ CMS والنشر والنفاذية (20 ساعة تدريبية).,متدرب,30,الدفعة الرابعة (30%),دليل محرر المحتوى باللغة العربية، جلسات تدريب عملية، فيديوهات إرشادية,اختبار عملي لمحرري الكليات بإنشاء صفحات وأخبار ونشرها بنجاح,40
Table 6,التدريب، نقل المعرفة، والتوثيق,6.3,التوثيق والأدلة التشغيلية: تسليم وثائق المعمارية (SRS/SDD/API Docs)، وأدلة الاستخدام، وكتيبات إدارة النظام باللغة العربية بصيغتي PDF/Docx و OpenAPI.,حزمة,1,الدفعة الرابعة (30%),حزمة التوثيق الشاملة (وثيقة المعمارية، نموذج البيانات، دليل التشغيل والنشر، دليل API، أدلة المستخدم),فحص دقة واكتمال الوثائق وتطابقها مع المنظومة المنفذة 100%,40
Table 7,الضمان والدعم الفني والصيانة (1 Year Post-Launch),7.1,الضمان والصيانة المجانية لمدة عام: صيانة المنصة، معالجة الثغرات، والتحديثات الدورية مجاناً لمدة 12 شهراً بعد الإطلاق الرسمي.,شهر,12,المحتجز النهائي للضمان (10%),اتفاقية ضمان معتمدة، سجلات الصيانة والتحديثات الدورية، محاضر الدعم الفني,تقارير الصيانة الدورية ربع السنوية والتحديثات الأمنية وإغلاق المشاكل,40
Table 7,الضمان والدعم الفني والصيانة (1 Year Post-Launch),7.2,الدعم الفني والالتزام بـ SLA: تقديم الدعم الفني وفق مستويات P1-P4 واستجابة الأعطال الحرجة خلال ساعتين.,سنة,1,المحتجز النهائي للضمان (10%),نظام تذاكر الدعم الفني، تقارير الالتزام بـ SLA، سجل زمن الاستجابة والإصلاح,مراجعة تقارير زمن الاستجابة الشهرية للأعطال الحرجة (P1 <= 2h),40
