Requirement_ID,Page_Number,Section_Reference,Category,Obligation_Level,Requirement_Title,Requirement_Description,Delivery_Phase,Responsible_Role,Evaluation_Criterion,Weight_Percentage,Required_Evidence,Acceptance_Criteria,Dependency,Risk_Level,Source_Confidence
REQ-ARC-001,"4, 5, 24, 25",الجزء الثالث: المتطلبات العامة - المعمارية التقنية,Non-Functional,MUST,معمارية Modular Monolith القابلة للتوسع,اعتماد نمط المعمارية المؤسسية Modular Monolith القابل للتحول المستقبلي المنظم إلى Microservices مع الفصل التام بين الطبقات وحفظ أداء البيئة المحلية.,Phase 1-2 (W1-W12),Solutions Architect,المعمارية والمنهجية,25%,وثيقة التصميم المعماري (SDD/D-05)، مخططات الوحدات البرمجية والـ Modular Boundaries,تحقيق استقلالية الموديولات وسهولة الصيانة وتوفير 30% من استهلاك الموارد مقارنة بالمعماريات المشتتة,None,HIGH,HIGH
REQ-ARC-002,"5, 6, 24, 25",المعمارية التقنية - حزمة التقنيات المعتمدة,Non-Functional,MUST,حزمة التقنيات المعتمدة (Next.js/React + Tailwind + NestJS/FastAPI + PostgreSQL + Redis),استخدام Next.js (TypeScript/React) مع TailwindCSS للواجهات، NestJS/Node.js أو FastAPI/Python للباك إند، PostgreSQL لقواعد البيانات، و Redis Cluster للتخزين المؤقت.,Phase 2 (W5-W12),Solutions Architect,المعمارية والمنهجية,25%,شفرة المصدر على Git، ملفات التهيئة (package.json / tsconfig / Dockerfile)، وثيقة التكنولوجيا,بناء المنظومة باستخدام الحزمة المحددة دون إقحام أطر عمل مهجورة أو غير مدعومة,None,HIGH,HIGH
REQ-ARC-003,"5, 6, 7, 24, 25",المعمارية التقنية - بيئة الحاويات والتشغيل,Non-Functional,MUST,بيئة الحاويات Docker و Kubernetes (K8s) والأتمتة,نشر وتشغيل كافة المكونات داخل حاويات Docker وإدارتها عبر Kubernetes لدعم التوسع التلقائي (HPA) والتحديث دون توقف (Zero-downtime Deployment).,Phase 3-4 (W13-W24),DevOps Specialist,الأمن السيبراني والأداء,15%,ملفات Helm Charts، تكوينات K8s Manifests، سكريبتات Dockerfile، واختبار التوسع التلقائي,نجاح اختبارات النشر المؤتمت والتوسع الأفقي وإعادة التشغيل الذاتي عند تعطل الحاويات,None,HIGH,HIGH
REQ-ARC-004,"5, 6, 24, 25",المعمارية التقنية - تخزين الوسائط والأصول الرقمية,Non-Functional,MUST,تخزين سحابي محلي للوسائط MinIO (S3-Compatible),استخدام خادم MinIO المتوافق مع بروتوكول S3 لتخزين الملفات والمستندات والوسائط محلياً مع تشفير البيانات ودعم النسخ الاحتياطي السريع.,Phase 2 (W5-W12),Backend Lead,المعمارية والمنهجية,25%,تكوين خادم MinIO، سياسات الـ Buckets الآمنة، وسجلات التخزين المشفر,نجاح رفع واسترجاع الملفات المشفرة عبر روابط خاصة مؤقتة Signed URLs دون كشف الروابط العامة,None,HIGH,HIGH
REQ-FR-001,"8, 23, 26, 37",الموقع الإلكتروني ونظام CMS - المتطلبات الأساسية,Functional,MUST,توفير موقع إلكتروني رسمي متكامل لجامعة تعز,بناء الموقع المؤسسي الرسمي لجامعة تعز بواجهات تفاعلية تمثل الهوية الجامعية وتقدم كافة المعلومات والخدمات الأكاديمية والإدارية.,Phase 2 (W5-W12),Frontend Lead,المعمارية والمنهجية,25%,رابط الموقع التجريبي الشغال، كود الواجهات، ملفات التصميم Figma,اعتماد واجهات الموقع الرسمي من قبل اللجنة الفنية للجامعة واستيفاء معايير التصميم,None,HIGH,HIGH
REQ-FR-002,"8, 14, 15, 23, 24, 26, 37",المتطلبات الوظيفية - Multi-Site CMS,Functional,MUST,منصة إدارة محتوى متعددة المواقع لـ 25 موقعاً فرعياً (RTM-01 / BOQ 1.3),بناء CMS مركزي موحد يدير 25 موقعاً فرعياً للكليات والمراكز عبر Subdomains مستقلة (مثل med.taiz.edu.ye) بضغطة زر مع الحوكمة المركزية ونظام صلاحيات هرمي RBAC.,Phase 2 (W5-W12),Solutions Architect,المعمارية والمنهجية (RTM-01),25%,لوحة التحكم المركزية لإضافة وتوليد المواقع الفرعية، كود Multi-Tenant، سيناريوهات إدارة 25 موقع,إنشاء موقع فرعي جديد لكلية وتخصيصه بالكامل بضغطة زر وتعيين صلاحيات مستخدميه وعزله التام,REQ-ARC-001,HIGH,HIGH
REQ-FR-003,"8, 9, 10, 11, 12, 23, 26, 37",نظام CMS - محرر المحتوى وسير العمل,Functional,MUST,محرر صفحات مرن (Block/WYSIWYG) مع دورة حياة المحتوى والنشر,توفير محرر مرن يدعم البلوكات والمحتوى الغني مع دعم كامل لدورة حياة المحتوى: Draft -> Review -> Approval -> Publish -> Update -> Archive مع سجل التدقيق الكامل.,Phase 2 (W5-W12),Frontend Lead,المعمارية والمنهجية,25%,واجهة المحرر المرئي، كود معالجة المسودات، سجل تاريخ التعديلات ومقارنة النسخ (Diff View),اختبار إنشاء مسودة، مراجعتها، اعتمادها، جدولتها، واسترجاع إصدار تاريخي سابق,REQ-FR-002,HIGH,HIGH
REQ-FR-004,"8, 9, 10, 11, 37",نظام CMS - إدارة الوحدات والأقسام,Functional,MUST,إدارة الأخبار، الإعلانات، الفعاليات والتقويم الجامعي,وحدات متخصصة لإدارة الأخبار والبيانات الصحفية، الإعلانات الموجهة والعاجلة، جدول الفعاليات مع التقويم الجامعي وإمكانية تصنيفها وربطها بالمواقع الفرعية.,Phase 2 (W5-W12),Backend Lead,المعمارية والمنهجية,25%,شاشات إدارة الأخبار والفعاليات، محرك التقويم الجامعي، واجهات العرض للمستخدمين,نشر فعالية وإعلان عاجل وظهوره الفوري في الموقع الرئيسي وموقع الكلية المعنية وتصديره للتقويم,REQ-FR-003,HIGH,HIGH
REQ-FR-005,"10, 11, 37",نظام CMS - البرامج الأكاديمية والكادر التدريسي,Functional,MUST,دليل البرامج الأكاديمية وملفات أعضاء هيئة التدريس,نموذج منظم لإدارة الخطط الدراسية وتوصيف البرامج الأكاديمية ومخرجات التعلم، مع دليل تفاعلي للسير الذاتية لأعضاء هيئة التدريس واهتماماتهم البحثية وقابلية إعادة استخدام البيانات.,Phase 2 (W5-W12),Backend Lead,المعمارية والمنهجية,25%,شاشات دليل البرامج والسير الذاتية، مخطط قاعدة البيانات للخطط الأكاديمية والأبحاث,بحث واستعراض الخطط الدراسية وملفات الكادر التدريسي مع إمكانية التصفية المتقدمة,None,HIGH,HIGH
REQ-FR-006,"11, 12, 37",نظام CMS - إدارة النماذج ومكتبة الوسائط,Functional,MUST,أداة بناء النماذج الإلكترونية ومكتبة الوسائط المركزية,أداة ديناميكية لإنشاء النماذج والاستبيانات بدون كود (Form Builder) مع دعم رفع الملفات، ومكتبة وسائط مركزية تدعم الصور والمستندات والفيديو مع إدارة الـ Metadata والأوصاف البديلة (Alt Text).,Phase 2 (W5-W12),Frontend Lead,المعمارية والمنهجية,25%,واجهة منشئ النماذج، لوحة مكتبة الوسائط، اختبارات التحقق من الملفات ومطابقة النفاذية,بناء نموذج تسجيل إلكتروني واستقبال البيانات وتخزينها ورفع الوسائط واسترجاعها بأمان,REQ-ARC-004,HIGH,HIGH
REQ-FR-007,"15, 16, 26, 37",المواقع المتعددة - الحوكمة ونظام التصميم الموحد,Functional,MUST,نظام التصميم الموحد (Design System) والقوالب المشتركة,"توحيد الهوية البصرية وشعارات الجامعة عبر Design System ومكونات واجهة موحدة (Header, Footer, Nav, Typography) مع إتاحة مساحة تخصيص محددة لكل كلية دون الإخلال بالهوية.",Phase 2 (W5-W12),Frontend Lead,تجربة المستخدم والنفاذية,10%,مكتبة مكونات Tailwind/React، ملفات تصميم الـ Design System، قوالب المواقع الفرعية,تطبيق تلقائي للهوية الموحدة على المواقع الفرعية وتناسق تجربة التصفح عبر كامل شبكة المواقع,REQ-FR-002,HIGH,HIGH
REQ-IAM-001,"6, 7, 18, 23, 26, 38",البوابات الموحدة - نظام الدخول الموحد والمصادقة,Security,MUST,نظام الدخول الموحد (SSO/MFA) عبر Keycloak/OIDC (RTM-02 / BOQ 2.4),دمج خادم هويات موحد (Keycloak أو ما يعادله) يدعم بروتوكولات OAuth 2.0 / OIDC و SAML 2.0 لتوفير مصادقة موحدة (SSO) لكافة البوابات مع فرض MFA للحسابات الحساسة.,Phase 2 (W5-W12),Backend Lead,المعمارية والمنهجية (RTM-02),25%,خادم الهويات المدمج، كود تكامل الـ OIDC، إعدادات MFA عبر Authenticator/SMS، سجلات الدخول,تسجيل دخول المستخدم بحساب واحد والتنقل السلس بين بوابات الجامعة وتطبيق MFA الإلزامي للإداريين,None,HIGH,HIGH
REQ-IAM-002,"12, 16, 18, 26, 34, 38",الأمن والهوية - إدارة الصلاحيات الهرمية,Security,MUST,التحكم في الوصول القائم على الدور (RBAC) ومبدأ Least Privilege,"تطبيق نموذج صارم للأدوار والصلاحيات (Platform Admin, Content Admin, Site Admin, Editor, Reviewer, Student, Faculty, Staff) مع عزل البيانات ومنع ثغرات BOLA/IDOR.",Phase 2 (W5-W12),Backend Lead,الأمن السيبراني والأداء,15%,جداول الصلاحيات، سياسات RLS وقواعد حماية الـ Endpoints، اختبارات الأمان ضد IDOR,منع أي مستخدم من الوصول لأي بيانات أو خدمات خارج صلاحياته المحددة وإثبات ذلك باختبارات سلبية,REQ-IAM-001,HIGH,HIGH
REQ-PTL-001,"18, 19, 23, 26, 38",البوابات الموحدة - بوابة الطالب,Functional,MUST,بوابة الطالب الرقمية وتتبع المعاملات (Student Portal / BOQ 2.1),تطوير بوابة الطالب الشاملة: السجل الأكاديمي، كشف الدرجات، الجداول، الرسوم، تقديم طلبات إيقاف القيد وتعديل المسار، تتبع المعاملات بنظام تفاعلي، ومركز إشعارات فوري.,Phase 2-3 (W5-W20),Frontend Lead,المعمارية والمنهجية,25%,شاشات بوابة الطالب، مسارات سير العمل للطلبات الأكاديمية، نظام الإشعارات والربط مع المساعد الذكي,تقديم طالب لطلب أكاديمي وتتبع مراحل التدقيق والاعتماد واستلام الإشعار الفوري ولحظة الاعتماد,REQ-IAM-001,HIGH,HIGH
REQ-PTL-002,"18, 23, 26, 38",البوابات الموحدة - بوابة عضو هيئة التدريس,Functional,MUST,بوابة عضو هيئة التدريس (Faculty Portal / BOQ 2.2),تطوير بوابة الكادر الأكاديمي: إدارة المقررات، رصد الدرجات الأكاديمية، تسجيل الحضور والغياب، إدارة المجالس الأكاديمية، متابعة أبحاث التخرج، واستعراض العبء التدريسي.,Phase 2-3 (W5-W20),Backend Lead,المعمارية والمنهجية,25%,شاشات رصد الدرجات وإدارة المقررات، تكامل نظام المجالس الأكاديمية والمشاريع، أدوات التقارير,رصد عضو هيئة التدريس للدرجات واعتمادها إلكترونياً وتدقيق مسار المجالس الأكاديمية,REQ-IAM-001,HIGH,HIGH
REQ-PTL-003,"18, 23, 26, 38",البوابات الموحدة - بوابة الموظفين الإدارية,Functional,MUST,بوابة الموظفين والخدمات الإدارية (Staff Portal / BOQ 2.3),تطوير بوابة الموظفين: تقديم وتتبع طلبات الإجازات والمغادرات، استعراض كشف الراتب الشهري والتدرج الوظيفي، نظام المراسلات والتعاميم الإدارية الداخلية، ومتابعة العهد.,Phase 2-3 (W5-W20),Frontend Lead,المعمارية والمنهجية,25%,شاشات الخدمات الإدارية، دورة طلب الإجازة واعتمادها، نظام المراسلات الداخلية، كشوفات الرواتب,تقديم موظف لطلب إجازة وموافاة رئيس القسم إلكترونياً واعتمادها وخصمها من الرصيد,REQ-IAM-001,HIGH,HIGH
REQ-AI-001,"6, 7, 20, 21, 22, 23, 25, 27, 38",الذكاء الاصطناعي - محرك RAG المحلي السيادي,AI,MUST,محرك RAG محلي سيادي واستضافة 100% On-Premises (RTM-03 / BOQ 3.1),تطوير محرك RAG محلي بالكامل مستضاف على البنية التحتية الخاصة بالجامعة مع قاعدة بيانات متجهية (Qdrant / Milvus) ونماذج مفتوحة المصدر (Llama 3 / Mistral / Qwen 2.5) لضمان السيادة وعدم خروج البيانات.,Phase 3 (W13-W20),AI/RAG Specialist,قدرات الذكاء الاصطناعي (RTM-03),15%,شفرة خطوط أنابيب الـ RAG، تكوينات Qdrant/Milvus المحلية، ونموذج التضمين bge-m3/multilingual-e5,تشغيل نموذج الذكاء الاصطناعي محلياً بدون أي استدعاء لخوادم أو APIs خارجية (Zero External Calls),REQ-ARC-003,HIGH,HIGH
REQ-AI-002,"20, 27, 38",الذكاء الاصطناعي - المعالجة اللغوية والصرفية للغة العربية,AI,MUST,المعالجة الصرفية العربية والبحث الهجين (Arabic NLP & Hybrid Search / BOQ 3.2),تطبيق أدوات المعالجة اللغوية العربية المتقدمة (التنقية الصرفية، التجريد والاستجذار Stemming عبر Farasa/CamelTools) والبحث الهجين دمجاً بين BM25 و Vector Search بخوارزمية RRF.,Phase 3 (W13-W20),AI/RAG Specialist,قدرات الذكاء الاصطناعي (RTM-03),15%,كود المعالجة الصرفية، أنابيب التجذير، خوارزمية دمج النتائج Reciprocal Rank Fusion (RRF),إثبات تفوق البحث الهجين في مطابقة المصطلحات الجامعية والقرارات الرسمية بدقة تتجاوز البحث اللفظي البسيط,REQ-AI-001,HIGH,HIGH
REQ-AI-003,"20, 21, 22, 23, 30, 38",الذكاء الاصطناعي - معايير الجودة والاسترجاع والدقة,AI,MUST,تحقيق دقة استرجاع Recall@10 > 95% وزمن استجابة < 2.5s,التزام محرك المساعد الذكي بمعايير أداء صارمة تشمل دقة استرجاع Recall@10 تتجاوز 95%، وزمن استجابة كلي أقل من 2.5 ثانية، والإسناد الدقيق لمصادر الجامعة المعتمدة.,Phase 3 (W13-W20),AI/RAG Specialist,قدرات الذكاء الاصطناعي (RTM-03),15%,"تقرير اختبارات تقييم الدقة RAG Evaluation Suite (Recall@10, MRR, Hit Rate)، سجلات قياس زمن التوليد",اجتياز اختبارات بنك الأسئلة الجامعية المعد مسبقاً (100+ سؤال) بنسبة دقة مثبتة > 95% وزمن < 2.5 ثانية,REQ-AI-001,HIGH,HIGH
REQ-AI-004,"21, 22, 27, 33, 38",الذكاء الاصطناعي - منع الهلوسة وحوكمة الذكاء الاصطناعي,AI,MUST,منع الهلوسة ولوحة الحوكمة والتدخل البشري (Human-in-the-loop / BOQ 3.3),حظر التوليد الحر خارج مصادر المعرفة المعتمدة، ربط كل إجابة برابط الوثيقة الرسمية، وتوفير لوحة حوكمة للمراقبة والتدخل البشري وتدقيق الاستفسارات.,Phase 3 (W13-W20),AI/RAG Specialist,قدرات الذكاء الاصطناعي (RTM-03),15%,لوحة حوكمة الـ AI، شاشات إدارة مصادر المعرفة، محرك التحقق من الاقتباسات والمصادر,إجابة المساعد فقط من واقع الوثائق المعتمدة والاعتذار الفوري عند عدم توفر المعلومة دون اختلاق,REQ-AI-001,HIGH,HIGH
REQ-AI-005,"22, 33",الذكاء الاصطناعي - الحماية من الاختراق وحقن الأوامر,Security,MUST,الحماية من هجمات Prompt Injection وتأمين طبقة الـ LLM,تطبيق طبقات أمان متخصصة لتحليل وتطهير مدخلات المستخدم ومنع هجمات حقن الأوامر (Prompt Injection / Jailbreak) وحماية سياق النظام من التسريب.,Phase 3 (W13-W20),Cybersecurity Specialist,الأمن السيبراني والأداء,15%,فلاتر الحماية (Guardrails)، اختبارات الفحص الأمني لطبقة الـ AI، سجلات رصد محاولات الاختراق,إحباط كافة محاولات التلاعب وتجاوز تعليمات النظام (Jailbreak / Prompt Leaking) وتوثيقها في السجلات,REQ-AI-001,HIGH,HIGH
REQ-INT-001,"4, 7, 19, 23, 24, 28, 39",التكامل - بوابة الواجهات البرمجية API Gateway,Integration,MUST,بناء وتأمين بوابة API Gateway المركزية (RTM-07 / BOQ 4.1),توفير طبقة API Gateway وسيطة (Kong / Envoy) لإدارة وتأمين حركة البيانات، وتطبيق سياسات المصادقة وتحديد معدل الطلبات (Rate Limiting) وتوثيق Swagger/OpenAPI.,Phase 3 (W13-W20),Backend Lead,المعمارية والمنهجية (RTM-07),25%,تكوين API Gateway، ملفات تعريف نقاط النهاية OpenAPI 3.0، واجهة Swagger التفاعلية,توجيه كافة الطلبات عبر الـ Gateway وتطبيق الضوابط الأمنية بنجاح ومراقبة الأداء,REQ-ARC-001,HIGH,HIGH
REQ-INT-002,"24, 28, 39",التكامل - موصلات الأنظمة القائمة,Integration,MUST,تطوير 4 موصلات للأنظمة القائمة (Legacy Connectors / BOQ 4.2),بناء 4 موصلات برمجية وسيطة للربط الآمن للقراءة والعرض مع أنظمة الجامعة القائمة (نظام الطلاب SIS، نظام الموارد البشرية HR، النظام المالي، وقواعد البيانات القديمة).,Phase 3 (W13-W20),Backend Lead,المعمارية والمنهجية (RTM-07),25%,شفرة موصلات البيانات، تعريفات نماذج البيانات الوسيطة، تقارير اختبارات جلب البيانات الحية,استرجاع وعرض بيانات الطلاب والمقررات والرواتب لحظياً من الأنظمة القائمة دون أي تأثير على أدائها,REQ-INT-001,HIGH,HIGH
REQ-MIG-001,"5, 7, 23, 24, 30, 31, 39",البيانات والترحيل - هجرة المحتوى التاريخي,Data,MUST,هجرة المحتوى القديم وأرشفة الروابط عبر 301 Redirects (RTM-09 / BOQ 4.3),سحب وتحويل المحتوى التاريخي والأرشيف الإخباري للموقع القديم عبر أنابيب ETL مؤتمتة، وتنظيف البيانات، وإعادة هيكلتها مع الحفاظ التام على أرشفة الروابط عبر تحويلات 301 الدائمة.,Phase 4 (W21-W24),Content/Training Lead,سابقة الأعمال وخطة التنفيذ (RTM-09),15%,سكريبتات ETL، مصفوفة تحويل البيانات المهاجرة، تقرير تدقيق العينات، ملف تكوين تحويلات الروابط 301,هجرة 100% من المحتوى المعتمد وخلو الروابط القديمة والمؤرشفة في محركات البحث من أي خطأ 404,REQ-FR-002,HIGH,HIGH
REQ-SEO-001,"6, 13, 23, 24, 26, 35, 37",الموقع والـ SEO - محرك تحسين محركات البحث الآلي,Non-Functional,MUST,محرك SEO الآلي والفهرسة اللحظية والبيانات المنظمة (RTM-06 / BOQ 1.4),أتمتة توليد البيانات الوصفية (Auto Meta Titles/Desc)، وسوم Canonical و hreflang، وتوليد شفرات Schema.org JSON-LD للكيانات التعليمية، والتكامل مع Google Indexing API و IndexNow.,Phase 4 (W21-W24),Frontend Lead,محرك SEO والأتمتة (RTM-06),15%,وحدة Auto-SEO البرمجية، قوالب JSON-LD المنظمة، شفرة استدعاء Indexing APIs، تقارير فحص Schema,ظهور النتائج الغنية (Rich Snippets) في محركات البحث وفهرسة الأخبار والمقررات لحظة نشرها,REQ-FR-001,HIGH,HIGH
REQ-SEC-001,"6, 7, 23, 24, 27, 34, 39",الأمن السيبراني - معيار OWASP ASVS v4.0 L2,Security,MUST,التوافق التام مع معيار OWASP ASVS v4.0 Level 2 (RTM-04 / BOQ 5.1),تطبيق كافة ضوابط الأمان لمعيار OWASP ASVS Level 2، بما يشمل سياسات كلمات المرور، التحكم بالوصول، أمان الجلسات، التشفير، والوقاية من هجمات الحقن و XSS و CSRF.,Phase 4-5 (W21-W28),Cybersecurity Specialist,الأمن السيبراني والأداء (RTM-04),15%,مصفوفة التحقق الأمني ASVS L2 المكتملة، سجلات التشفير وإعدادات الحماية، نتائج الفحص البرمجي SAST,اجتياز كافة بنود المستوى الثاني من معيار ASVS دون أي استثناء غير مبرر,REQ-ARC-001,HIGH,HIGH
REQ-SEC-002,"7, 23, 27, 34, 39",الأمن السيبراني - التشفير وحماية البيانات الحساسة,Security,MUST,التشفير الصارم أثناء الحركة (TLS 1.3) والسكون (AES-256),تطبيق بروتوكول TLS 1.3 مع إلغاء الشفرات الضعيفة، وتشفير كافة البيانات الحساسة والسرية في قواعد البيانات ومخازن الملفات باستخدام خوارزمية AES-256 وإدارة آمنة للمفاتيح.,Phase 2-4 (W5-W24),Cybersecurity Specialist,الأمن السيبراني والأداء,15%,شهادات SSL/TLS مع تكوين A+ على SSL Labs، كود تشفير الحقول الحساسة في DB، إعدادات KMS,حصول الموقع على تقييم A+ في اختبارات SSL Labs وتشفير كلمات المرور والبيانات الشخصية بالكامل,REQ-SEC-001,HIGH,HIGH
REQ-SEC-003,"7, 23, 27, 29, 30, 32, 34, 39",الأمن السيبراني - اختبار الاختراق الخارجي المستقل,Security,MUST,تقرير فحص واختبار اختراق معتمد من طرف ثالث (Penetration Test / BOQ 5.2),إجراء اختبار اختراق شامل (Black-box & Gray-box) بواسطة شركة أمنية مستقلة مرخصة وتقديم تقرير معتمد يثبت خلو المنظومة التام من أي ثغرات حرجة أو عالية قبل الإطلاق.,Phase 5 (W25-W28),Cybersecurity Specialist,الأمن السيبراني والأداء (RTM-04),15%,التقرير الرسمي لاختبار الاختراق الصادر والمختوم من الجهة الأمنية المستقلة (Third-Party Pentest Report),خلو التقرير من أي ثغرات حرجة (Critical) أو عالية (High) وتأكيد إغلاق كافة الملاحظات,REQ-SEC-001,HIGH,HIGH
